,Unnamed: 0,Unnamed: 0.1,perplexity,dataset name,model,method,vectorizer
0,0,0,3.69735598564148,spam,rf,sedc,CountVectorizer
1,1,0,2.622802495956421,spam,rf,sedc,CountVectorizer
2,2,0,2.4435389041900635,spam,rf,sedc,CountVectorizer
3,3,0,4.516661643981934,spam,rf,sedc,CountVectorizer
4,4,0,3.380951404571533,spam,rf,sedc,CountVectorizer
5,5,0,4.296369552612305,spam,rf,sedc,CountVectorizer
6,6,0,2.22202205657959,spam,rf,sedc,CountVectorizer
7,7,0,3.1664578914642334,spam,rf,sedc,CountVectorizer
8,8,0,3.5431947708129883,spam,rf,sedc,CountVectorizer
9,9,0,4.008330345153809,spam,rf,sedc,CountVectorizer
10,10,0,5.126764297485352,spam,rf,sedc,CountVectorizer
11,11,0,3.8049354553222656,spam,rf,sedc,CountVectorizer
12,12,0,5.158343315124512,spam,rf,sedc,CountVectorizer
13,13,0,2.5997586250305176,spam,rf,sedc,CountVectorizer
14,14,0,5.1269707679748535,spam,rf,sedc,CountVectorizer
15,15,0,2.8066399097442627,spam,rf,sedc,CountVectorizer
16,16,0,2.4636268615722656,spam,rf,sedc,CountVectorizer
17,17,0,2.9947268962860107,spam,rf,sedc,CountVectorizer
18,18,0,3.570739984512329,spam,rf,sedc,CountVectorizer
19,19,0,3.299879789352417,spam,rf,sedc,CountVectorizer
20,20,0,4.720487594604492,spam,rf,sedc,CountVectorizer
21,21,0,3.5494513511657715,spam,rf,sedc,CountVectorizer
22,22,0,3.698347806930542,spam,rf,sedc,CountVectorizer
23,23,0,2.344841718673706,spam,rf,sedc,CountVectorizer
24,24,0,3.745727062225342,spam,rf,sedc,CountVectorizer
25,25,0,3.4789602756500244,spam,rf,sedc,CountVectorizer
26,26,0,3.867237091064453,spam,rf,sedc,CountVectorizer
27,27,0,4.196595191955566,spam,rf,sedc,CountVectorizer
28,28,0,2.2707884311676025,spam,rf,sedc,CountVectorizer
29,29,0,4.061429023742676,spam,rf,sedc,CountVectorizer
30,30,0,4.295325756072998,spam,rf,sedc,CountVectorizer
31,31,0,4.421842575073242,spam,rf,sedc,CountVectorizer
32,32,0,4.877469539642334,spam,rf,sedc,CountVectorizer
33,33,0,4.303985118865967,spam,rf,sedc,CountVectorizer
34,34,0,3.145569086074829,spam,rf,sedc,CountVectorizer
35,35,0,4.10068416595459,spam,rf,sedc,CountVectorizer
36,36,0,4.704176425933838,spam,rf,sedc,CountVectorizer
37,37,0,4.551463603973389,spam,rf,sedc,CountVectorizer
38,38,0,3.5397305488586426,spam,rf,sedc,CountVectorizer
39,39,0,4.814817428588867,spam,rf,sedc,CountVectorizer
40,40,0,2.583740711212158,spam,rf,sedc,CountVectorizer
41,41,0,3.98516058921814,spam,rf,sedc,CountVectorizer
42,42,0,3.153949022293091,spam,rf,sedc,CountVectorizer
43,43,0,3.514313220977783,spam,rf,sedc,CountVectorizer
44,44,0,2.697981357574463,spam,rf,sedc,CountVectorizer
45,45,0,2.64186954498291,spam,rf,sedc,CountVectorizer
46,46,0,2.712273597717285,spam,rf,sedc,CountVectorizer
47,47,0,3.15952467918396,spam,rf,sedc,CountVectorizer
48,48,0,2.9596951007843018,spam,rf,sedc,CountVectorizer
49,49,0,4.35703182220459,spam,rf,sedc,CountVectorizer
50,50,0,4.518762588500977,spam,rf,sedc,CountVectorizer
51,51,0,3.5750744342803955,spam,rf,sedc,CountVectorizer
52,52,0,3.788641214370728,spam,rf,sedc,CountVectorizer
53,53,0,3.9160871505737305,spam,rf,sedc,CountVectorizer
54,54,0,3.5122344493865967,spam,rf,sedc,CountVectorizer
55,55,0,3.59546446800232,spam,rf,sedc,CountVectorizer
56,56,0,3.22504997253418,spam,rf,sedc,CountVectorizer
57,57,0,4.081564426422119,spam,rf,sedc,CountVectorizer
58,58,0,3.927589893341065,spam,rf,sedc,CountVectorizer
59,59,0,2.775820255279541,spam,rf,sedc,CountVectorizer
60,60,0,4.001144409179688,spam,rf,sedc,CountVectorizer
61,61,0,3.7128186225891113,spam,rf,sedc,CountVectorizer
