,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,"the movie has a soft , percolating magic , a deadpan suspense .",0.9501480536138956,"[0.9580420626252428, 0.9692477739499358, 0.9631114967922653, 0.9496644088259582, 0.9580420626252428, 0.9407714529030594, 0.9508380217346593, 0.9432294064843326, 0.9692477739499358, 0.9407714529030594, 0.9441764053140935, 0.920774076965365, 0.9631114967922653, 0.9508380217346593, 0.9441764053140935, 0.9616254305440441, 0.9496644088259582, 0.9432294064843326, 0.920774076965365, 0.9616254305440441]",spacy,422.7509915828705,0,lessconcon
1,this is one of polanski's best films .,0.9164258550741955,"[0.9105144113261945, 0.9227824818020702, 0.905312840922698, 0.9173633362210387, 0.9105144113261945, 0.8772971779145787, 0.9294007772102989, 0.9655533800360784, 0.9227824818020702, 0.8772971779145787, 0.8870860229480624, 0.9114798908744581, 0.905312840922698, 0.9294007772102989, 0.8870860229480624, 0.9374682314864764, 0.9173633362210387, 0.9655533800360784, 0.9114798908744581, 0.9374682314864764]",spacy,364.67795991897583,0,lessconcon
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",0.9659590897303959,"[0.9659855345476956, 0.9652688162684823, 0.9493071398584748, 0.968765550550973, 0.9659855345476956, 0.9719860678003357, 0.9634417099287971, 0.979373055310545, 0.9652688162684823, 0.9719860678003357, 0.9542492245528651, 0.9796244277908722, 0.9493071398584748, 0.9634417099287971, 0.9542492245528651, 0.9615893706949191, 0.968765550550973, 0.979373055310545, 0.9796244277908722, 0.9615893706949191]",spacy,686.9402711391449,0,lessconcon
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0.9903863688769373,"[0.9903749595460958, 0.9895638556181473, 0.9888970761573963, 0.9926252771585632, 0.9903749595460958, 0.9904793032039535, 0.9889979978219785, 0.9937952794962547, 0.9895638556181473, 0.9904793032039535, 0.9885145344224704, 0.9903310366667623, 0.9888970761573963, 0.9889979978219785, 0.9885145344224704, 0.9902843686777509, 0.9926252771585632, 0.9937952794962547, 0.9903310366667623, 0.9902843686777509]",spacy,1114.4588978290558,0,lessconcon
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0.9837976186720226,"[0.9810618887933514, 0.9858525823090126, 0.9840550007920885, 0.9850974746423617, 0.9810618887933514, 0.9810610573053201, 0.9855467286442348, 0.9819139802583609, 0.9858525823090126, 0.9810610573053201, 0.9836662122231528, 0.9876296341361229, 0.9840550007920885, 0.9855467286442348, 0.9836662122231528, 0.982091627616221, 0.9850974746423617, 0.9819139802583609, 0.9876296341361229, 0.982091627616221]",spacy,1104.2232546806335,0,lessconcon
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",0.943491342140935,"[0.9376289314237312, 0.9345233343823421, 0.936587409116859, 0.9374040959077178, 0.9376289314237312, 0.9518070191614002, 0.9482364177862673, 0.9528951902903668, 0.9345233343823421, 0.9518070191614002, 0.9396885074108978, 0.9537044803065199, 0.936587409116859, 0.9482364177862673, 0.9396885074108978, 0.9424380356232491, 0.9374040959077178, 0.9528951902903668, 0.9537044803065199, 0.9424380356232491]",spacy,909.5886623859406,0,lessconcon
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,0.96866317440248,"[0.9669017855568998, 0.9712315337959225, 0.9647733709006471, 0.9610131327370575, 0.9669017855568998, 0.9753129863398133, 0.9747633761926257, 0.9732982562162109, 0.9712315337959225, 0.9753129863398133, 0.9701530086939851, 0.9589035651128165, 0.9647733709006471, 0.9747633761926257, 0.9701530086939851, 0.9702807284788214, 0.9610131327370575, 0.9732982562162109, 0.9589035651128165, 0.9702807284788214]",spacy,662.0612320899963,0,lessconcon
7,[at least] moore is a real charmer .,0.9422184729263783,"[0.9672146115653785, 0.9439220043641607, 0.9607577681832373, 0.9421907426288746, 0.9672146115653785, 0.9317786908501304, 0.9488538389482812, 0.9292771437929702, 0.9439220043641607, 0.9317786908501304, 0.9403174778064921, 0.92540303636412, 0.9607577681832373, 0.9488538389482812, 0.9403174778064921, 0.9324694147601398, 0.9421907426288746, 0.9292771437929702, 0.92540303636412, 0.9324694147601398]",spacy,322.67535185813904,0,lessconcon
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,0.9698239118633856,"[0.9618720841072651, 0.9650592490068449, 0.9682373016889357, 0.9671147853906494, 0.9618720841072651, 0.9626487127621607, 0.9756010319011619, 0.9733610214101028, 0.9650592490068449, 0.9626487127621607, 0.9729501912389155, 0.9773497523914856, 0.9682373016889357, 0.9756010319011619, 0.9729501912389155, 0.9740449887363335, 0.9671147853906494, 0.9733610214101028, 0.9773497523914856, 0.9740449887363335]",spacy,595.2363195419312,0,lessconcon
9,. . . always remains movingly genuine .,0.9408955020482395,"[0.9492189313225647, 0.9652064245792024, 0.9305250855211529, 0.928251578164376, 0.9492189313225647, 0.964232133647569, 0.9491245377370281, 0.9371084850272605, 0.9652064245792024, 0.964232133647569, 0.9358595889787578, 0.9387277179103792, 0.9305250855211529, 0.9491245377370281, 0.9358595889787578, 0.9107005375941082, 0.928251578164376, 0.9371084850272605, 0.9387277179103792, 0.9107005375941082]",spacy,215.2336962223053,0,lessconcon
