,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,"the movie has a soft , percolating magic , a deadpan suspense .",0.959069270673762,"[1.0, 0.9661441841547037, 0.9667006618694374, 0.9283816806698767, 1.0, 0.9661441841547037, 0.9667006618694374, 0.9283816806698767, 0.9661441841547037, 0.9661441841547037, 0.9810067467318493, 0.9343629770949172, 0.9667006618694374, 0.9667006618694374, 0.9810067467318493, 0.9528699295228187, 0.9283816806698767, 0.9283816806698767, 0.9343629770949172, 0.9528699295228187]",spacy,0.41841888427734375,0,lime
1,this is one of polanski's best films .,0.972898104601297,"[0.9546230729131205, 0.9546230729131205, 0.9795314507791625, 0.9599712647940077, 0.9546230729131205, 1.0, 0.9829108428579754, 0.9633444667415932, 0.9546230729131205, 1.0, 0.9829108428579754, 0.9633444667415932, 0.9795314507791625, 0.9829108428579754, 0.9829108428579754, 0.9877215654144225, 0.9599712647940077, 0.9633444667415932, 0.9633444667415932, 0.9877215654144225]",spacy,0.4332919120788574,0,lime
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",0.975114801528545,"[0.9838131925184405, 0.9727492391527417, 0.9728443516570923, 0.9764612641681885, 0.9838131925184405, 0.9730627076131865, 0.9740879035473684, 0.9729315868948691, 0.9727492391527417, 0.9730627076131865, 0.9713619245603402, 0.9800072003313849, 0.9728443516570923, 0.9740879035473684, 0.9713619245603402, 0.9738286448418343, 0.9764612641681885, 0.9729315868948691, 0.9800072003313849, 0.9738286448418343]",spacy,0.4744760990142822,0,lime
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0.9979439786701174,"[0.9978221880962608, 0.9981266238869339, 0.997999142313826, 0.9987190671290499, 0.9978221880962608, 0.9990380073298487, 0.9969446289716885, 0.9977601041991939, 0.9981266238869339, 0.9990380073298487, 0.9971423343705398, 0.9979916002343168, 0.997999142313826, 0.9969446289716885, 0.9971423343705398, 0.9978960901695167, 0.9987190671290499, 0.9977601041991939, 0.9979916002343168, 0.9978960901695167]",spacy,0.6117391586303711,0,lime
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0.9957734642045744,"[0.9944982064844174, 0.994048978514826, 0.994753893068477, 0.9953916087673671, 0.9944982064844174, 0.9970069102846656, 0.9957151804694696, 0.9967014311906626, 0.994048978514826, 0.9970069102846656, 0.9959505382075723, 0.9971989491626552, 0.994753893068477, 0.9957151804694696, 0.9959505382075723, 0.9964689458956314, 0.9953916087673671, 0.9967014311906626, 0.9971989491626552, 0.9964689458956314]",spacy,0.5868432521820068,0,lime
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,0.9799342705752615,"[0.9776461655938901, 0.9776256317745831, 0.9702850236026883, 0.9858576503579972, 0.9776461655938901, 0.9821002495646671, 0.9878275478878197, 0.9901240987466732, 0.9776256317745831, 0.9821002495646671, 0.9798046195174732, 0.9717145772014398, 0.9702850236026883, 0.9878275478878197, 0.9798046195174732, 0.9763571415053847, 0.9858576503579972, 0.9901240987466732, 0.9717145772014398, 0.9763571415053847]",spacy,0.4905123710632324,0,lime
6,[at least] moore is a real charmer .,0.95005936767393,"[0.9769321422157202, 0.9380365619370762, 0.9305333501612926, 0.9285331754534408, 0.9769321422157202, 0.9150104496495857, 0.9538407848001549, 0.9127303338487125, 0.9380365619370762, 0.9150104496495857, 0.9755415984075844, 0.9935446196748912, 0.9305333501612926, 0.9538407848001549, 0.9755415984075844, 0.9758906605908382, 0.9285331754534408, 0.9127303338487125, 0.9935446196748912, 0.9758906605908382]",spacy,0.4290294647216797,0,lime
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,0.9903709578315028,"[0.9868865720792683, 0.9835324966104907, 0.9942453649935504, 0.9944752659868067, 0.9868865720792683, 0.9964174355122197, 0.9934810545413455, 0.9856226873512713, 0.9835324966104907, 0.9964174355122197, 0.9896180383574589, 0.9869720617393737, 0.9942453649935504, 0.9934810545413455, 0.9896180383574589, 0.9924586011432426, 0.9944752659868067, 0.9856226873512713, 0.9869720617393737, 0.9924586011432426]",spacy,0.4683382511138916,0,lime
8,. . . always remains movingly genuine .,0.9496132913140725,"[0.9160221531776859, 0.9999999970373057, 0.9999999970373057, 0.9160221531776859, 0.9160221531776859, 0.9160221531776859, 0.9160221531776859, 1.0, 0.9999999970373057, 0.9160221531776859, 1.0, 0.9160221531776859, 0.9999999970373057, 0.9160221531776859, 1.0, 0.9160221531776859, 0.9160221531776859, 1.0, 0.9160221531776859, 0.9160221531776859]",spacy,0.38332080841064453,0,lime
9,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,0.9774821802268713,"[0.9820882158981532, 0.9843212184682778, 0.9765978932889345, 0.963216548455102, 0.9820882158981532, 0.9771808406197098, 0.9897544209531756, 0.9784477309005066, 0.9843212184682778, 0.9771808406197098, 0.9821850536641037, 0.9658288086132525, 0.9765978932889345, 0.9897544209531756, 0.9821850536641037, 0.9752010714074976, 0.963216548455102, 0.9784477309005066, 0.9658288086132525, 0.9752010714074976]",spacy,0.6419765949249268,0,lime
