,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,this is one of polanski's best films .,0.9437613081136682,"[0.9065483150256629, 1.0, 1.0, 0.9174283984684064, 0.9065483150256629, 0.9065483150256629, 0.9065483150256629, 0.9656829406544739, 1.0, 0.9065483150256629, 1.0, 0.9174283984684064, 1.0, 0.9065483150256629, 1.0, 0.9174283984684064, 0.9174283984684064, 0.9656829406544739, 0.9174283984684064, 0.9174283984684064]",spacy,0.4523277282714844,0,lime
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",0.9270381577135793,"[0.9007615476020115, 0.8705380804312228, 0.8742685420388366, 0.9272832415441817, 0.9007615476020115, 0.9139629189834032, 0.941085771800484, 0.9212909555273989, 0.8705380804312228, 0.9139629189834032, 0.9779038274599154, 0.9703418647693763, 0.8742685420388366, 0.941085771800484, 0.9779038274599154, 0.9729448269789635, 0.9272832415441817, 0.9212909555273989, 0.9703418647693763, 0.9729448269789635]",spacy,1.1994614601135254,0,lime
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0.9873136245827441,"[0.9919734256989063, 0.9922481948937281, 0.9862632322088732, 0.9891986036953443, 0.9919734256989063, 0.990340561868334, 0.9791361480271265, 0.9848755449541656, 0.9922481948937281, 0.990340561868334, 0.9829683817381755, 0.9901458219981303, 0.9862632322088732, 0.9791361480271265, 0.9829683817381755, 0.985986330744659, 0.9891986036953443, 0.9848755449541656, 0.9901458219981303, 0.985986330744659]",spacy,1.5441384315490723,0,lime
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0.9941236304303939,"[0.9940697102386655, 0.9954696902974511, 0.9950785064111367, 0.9925468335616386, 0.9940697102386655, 0.9942114250857313, 0.9950710485132881, 0.9931851932274494, 0.9954696902974511, 0.9942114250857313, 0.995111622661645, 0.9930890993974377, 0.9950785064111367, 0.9950710485132881, 0.995111622661645, 0.993403174909496, 0.9925468335616386, 0.9931851932274494, 0.9930890993974377, 0.993403174909496]",spacy,0.7899253368377686,0,lime
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",0.964062852245552,"[0.9781940700086772, 0.964450368204356, 0.9671284504614904, 0.9650762293583703, 0.9781940700086772, 0.945910945285252, 0.9679566027219676, 0.977447614827526, 0.964450368204356, 0.945910945285252, 0.9478800507844946, 0.9473297251505948, 0.9671284504614904, 0.9679566027219676, 0.9478800507844946, 0.9792544656527913, 0.9650762293583703, 0.977447614827526, 0.9473297251505948, 0.9792544656527913]",spacy,1.132692813873291,0,lime
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,0.9778507166163347,"[0.9826189049728054, 0.9739286014033212, 0.9829285016950217, 0.9765116212290686, 0.9826189049728054, 0.9720593402083603, 0.9747245037355378, 0.9905167465601964, 0.9739286014033212, 0.9720593402083603, 0.9876488679641056, 0.967939819179364, 0.9829285016950217, 0.9747245037355378, 0.9876488679641056, 0.9696302592155653, 0.9765116212290686, 0.9905167465601964, 0.967939819179364, 0.9696302592155653]",spacy,0.5554320812225342,0,lime
6,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,0.9866719139233417,"[0.9870898399903824, 0.9905949509756409, 0.9803586977083468, 0.9820140422873492, 0.9870898399903824, 0.9914854197306123, 0.9805844033946747, 0.990228084515052, 0.9905949509756409, 0.9914854197306123, 0.9859841316207838, 0.9866614671367888, 0.9803586977083468, 0.9805844033946747, 0.9859841316207838, 0.9917181018737877, 0.9820140422873492, 0.990228084515052, 0.9866614671367888, 0.9917181018737877]",spacy,0.5360422134399414,0,lime
7,. . . always remains movingly genuine .,0.928005481532284,"[0.9354514144256445, 0.9348355295961613, 0.9196369030942811, 0.9348355295961613, 0.9354514144256445, 0.8674881923868019, 0.9133647686824402, 0.8674881923868019, 0.9348355295961613, 0.8674881923868019, 0.9534771640492993, 0.9999999570559486, 0.9196369030942811, 0.9133647686824402, 0.9534771640492993, 0.9534771640492993, 0.9348355295961613, 0.8674881923868019, 0.9999999570559486, 0.9534771640492993]",spacy,0.4623532295227051,0,lime
8,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,0.9842030728930066,"[0.9907536022983725, 0.987626715147605, 0.9807646955007625, 0.9801298256696447, 0.9907536022983725, 0.9952983295674419, 0.9780903262863265, 0.9797153133221976, 0.987626715147605, 0.9952983295674419, 0.9846405806860895, 0.9757563968800086, 0.9807646955007625, 0.9780903262863265, 0.9846405806860895, 0.9892549435716167, 0.9801298256696447, 0.9797153133221976, 0.9757563968800086, 0.9892549435716167]",spacy,0.5839402675628662,0,lime
9,there's more repetition than creativity throughout the movie .,0.9599423447438495,"[0.945106754946288, 0.9498627880187442, 0.9501247214334503, 0.9501247214334503, 0.945106754946288, 0.9538321643980727, 0.9695174588871731, 0.9695174588871731, 0.9498627880187442, 0.9538321643980727, 0.9556686897170721, 0.9556686897170721, 0.9501247214334503, 0.9695174588871731, 0.9556686897170721, 1.0, 0.9501247214334503, 0.9695174588871731, 0.9556686897170721, 1.0]",spacy,0.4758591651916504,0,lime
10,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",0.9948473479311524,"[0.9915835202657312, 0.9987262410974249, 0.9954741575469167, 0.9958882217201706, 0.9915835202657312, 0.9915356487473997, 0.993119231224526, 0.9922833314532439, 0.9987262410974249, 0.9915356487473997, 0.9962638257071245, 0.9970340046433352, 0.9954741575469167, 0.993119231224526, 0.9962638257071245, 0.99656529690565, 0.9958882217201706, 0.9922833314532439, 0.9970340046433352, 0.99656529690565]",spacy,0.5849575996398926,0,lime
11,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",0.9853523407662752,"[0.992935277432938, 0.9793834485004305, 0.9812508424999032, 0.9939461494083945, 0.992935277432938, 0.9802811658931379, 0.9815282852254911, 0.9944880834131732, 0.9793834485004305, 0.9802811658931379, 0.9876479802865527, 0.9799382371228034, 0.9812508424999032, 0.9815282852254911, 0.9876479802865527, 0.9821239378799278, 0.9939461494083945, 0.9944880834131732, 0.9799382371228034, 0.9821239378799278]",spacy,0.5619297027587891,0,lime
12,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",0.953732956886537,"[0.953352756510218, 0.9296636691516377, 0.9684410453264777, 0.9355093917224256, 0.953352756510218, 0.9760470921091952, 0.9712088125114632, 0.9623211830248375, 0.9296636691516377, 0.9760470921091952, 0.9556743012512432, 0.9527398429829728, 0.9684410453264777, 0.9712088125114632, 0.9556743012512432, 0.9323714742749004, 0.9355093917224256, 0.9623211830248375, 0.9527398429829728, 0.9323714742749004]",spacy,0.9798533916473389,0,lime
13,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",0.9773950141688624,"[0.9851688912673351, 0.9747375526398335, 0.9749251268750336, 0.9824411882518674, 0.9851688912673351, 0.9842525670986478, 0.9720213350032846, 0.9786084924808119, 0.9747375526398335, 0.9842525670986478, 0.9738378950048937, 0.9719890214582734, 0.9749251268750336, 0.9720213350032846, 0.9738378950048937, 0.9759680716086423, 0.9824411882518674, 0.9786084924808119, 0.9719890214582734, 0.9759680716086423]",spacy,1.6812365055084229,0,lime
14,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",0.9939014761373439,"[0.9913521287434438, 0.9945244228004213, 0.9914217298179454, 0.9915646127475464, 0.9913521287434438, 0.9957109167732016, 0.9924492564578332, 0.9929717593714834, 0.9945244228004213, 0.9957109167732016, 0.9979282352319597, 0.9966251512384279, 0.9914217298179454, 0.9924492564578332, 0.9979282352319597, 0.9944665481911754, 0.9915646127475464, 0.9929717593714834, 0.9966251512384279, 0.9944665481911754]",spacy,0.5978007316589355,0,lime
15,"from beginning to end , this overheated melodrama plays like a student film .",0.973600379977594,"[0.9784906435173265, 0.9686507296143778, 0.9766543147989999, 0.9708230093294536, 0.9784906435173265, 0.980002734910019, 0.9770986653664032, 0.9798888579770555, 0.9686507296143778, 0.980002734910019, 0.9652966903303453, 0.9715117325069711, 0.9766543147989999, 0.9770986653664032, 0.9652966903303453, 0.9675864214249863, 0.9708230093294536, 0.9798888579770555, 0.9715117325069711, 0.9675864214249863]",spacy,0.5301070213317871,0,lime
16,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",0.9863737254498229,"[0.9790157266531931, 0.9864093178522074, 0.9868011136978851, 0.9839825727005812, 0.9790157266531931, 0.9831859495520276, 0.9851915748707369, 0.982096020475612, 0.9864093178522074, 0.9831859495520276, 0.9957798654376896, 0.9899578124714746, 0.9868011136978851, 0.9851915748707369, 0.9957798654376896, 0.991317300786823, 0.9839825727005812, 0.982096020475612, 0.9899578124714746, 0.991317300786823]",spacy,0.6716609001159668,0,lime
17,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,0.9812885819552225,"[0.984874646883579, 0.9847144177230208, 0.977335724354417, 0.9826597599221363, 0.984874646883579, 0.9822119696358267, 0.9741687556308141, 0.9846530111233938, 0.9847144177230208, 0.9822119696358267, 0.970994863314013, 0.9790644693950501, 0.977335724354417, 0.9741687556308141, 0.970994863314013, 0.9922082015699745, 0.9826597599221363, 0.9846530111233938, 0.9790644693950501, 0.9922082015699745]",spacy,0.5797867774963379,0,lime
18,"it is a testament of quiet endurance , of common concern , of reconciled survival .",0.9603062382190461,"[0.9584231570804698, 0.9747638542814108, 0.9736937878219144, 0.955664979576507, 0.9584231570804698, 0.9430832040119399, 0.9620304686425583, 0.9823313638634598, 0.9747638542814108, 0.9430832040119399, 0.9638519833281017, 0.944736945297074, 0.9736937878219144, 0.9620304686425583, 0.9638519833281017, 0.9444826382870277, 0.955664979576507, 0.9823313638634598, 0.944736945297074, 0.9444826382870277]",spacy,0.8170077800750732,0,lime
19,it's probably not easy to make such a worthless film . . .,0.9876537761264634,"[1.0000000283274473, 0.9901874938949649, 0.9896694465213953, 0.9899335270258883, 1.0000000283274473, 0.9901874938949649, 0.9896694465213953, 0.9899335270258883, 0.9901874938949649, 0.9901874938949649, 0.9683584549761275, 0.9808037592992748, 0.9896694465213953, 0.9896694465213953, 0.9683584549761275, 0.9877945837772895, 0.9899335270258883, 0.9899335270258883, 0.9808037592992748, 0.9877945837772895]",spacy,0.733048677444458,0,lime
20,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",0.9901895501971613,"[0.9910380957464785, 0.98768862194459, 0.9958920211181203, 0.9954343166750784, 0.9910380957464785, 0.9860935258593658, 0.990130788972987, 0.9875213989459319, 0.98768862194459, 0.9860935258593658, 0.987552598710741, 0.9891430785261746, 0.9958920211181203, 0.990130788972987, 0.987552598710741, 0.9914010554721446, 0.9954343166750784, 0.9875213989459319, 0.9891430785261746, 0.9914010554721446]",spacy,0.6350502967834473,0,lime
21,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",0.9942401708137056,"[0.9929762429758865, 0.9946863540733135, 0.9941572129957956, 0.989097578566588, 0.9929762429758865, 0.9960337644327012, 0.9958902284397929, 0.991922651663994, 0.9946863540733135, 0.9960337644327012, 0.9989606171493359, 0.9942227612067582, 0.9941572129957956, 0.9958902284397929, 0.9989606171493359, 0.9944542966328902, 0.989097578566588, 0.991922651663994, 0.9942227612067582, 0.9944542966328902]",spacy,0.6747515201568604,0,lime
22,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",0.9866026411292198,"[0.9884769089513696, 0.9910676562387517, 0.9896089267035786, 0.9837672431252547, 0.9884769089513696, 0.9849193241711797, 0.986451289548646, 0.9858968605994113, 0.9910676562387517, 0.9849193241711797, 0.9904556244622206, 0.9820953323447196, 0.9896089267035786, 0.986451289548646, 0.9904556244622206, 0.9832872451470652, 0.9837672431252547, 0.9858968605994113, 0.9820953323447196, 0.9832872451470652]",spacy,0.8376655578613281,0,lime
23,". . . very funny , very enjoyable . . .",0.9789261048360599,"[0.9789437486923427, 0.9605219824174956, 0.9789437486923427, 0.9651685942262672, 0.9789437486923427, 0.9840956704963513, 0.9999999966368102, 0.9766661606276352, 0.9605219824174956, 0.9840956704963513, 0.9840956704963513, 0.9841593154473695, 0.9789437486923427, 0.9999999966368102, 0.9840956704963513, 0.9766661606276352, 0.9651685942262672, 0.9766661606276352, 0.9841593154473695, 0.9766661606276352]",spacy,0.49415040016174316,0,lime
24,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '",0.9642171172303374,"[0.9629337245699343, 0.9644226265907728, 0.9801459590678803, 0.9721382475150131, 0.9629337245699343, 0.9706035031858588, 0.9499620395258787, 0.9580483890129962, 0.9644226265907728, 0.9706035031858588, 0.9513061247476415, 0.9608979135967478, 0.9801459590678803, 0.9499620395258787, 0.9513061247476415, 0.9717126444906503, 0.9721382475150131, 0.9580483890129962, 0.9608979135967478, 0.9717126444906503]",spacy,0.9259405136108398,0,lime
25,i can't recommend it . but it's surprisingly harmless .,0.9696973043177515,"[0.9741842477529592, 0.9616358988225354, 0.9766341205242332, 0.9864864904259131, 0.9741842477529592, 0.9532915406848613, 0.9832252494432249, 0.9671930788993481, 0.9616358988225354, 0.9532915406848613, 0.9512981276419266, 0.9774705369059299, 0.9766341205242332, 0.9832252494432249, 0.9512981276419266, 0.9655537520765828, 0.9864864904259131, 0.9671930788993481, 0.9774705369059299, 0.9655537520765828]",spacy,0.506932258605957,0,lime
26,has a lot of the virtues of eastwood at his best .,0.9657308438218463,"[0.955618140319431, 0.9703735339558283, 0.9485171643609107, 0.9703735339558283, 0.955618140319431, 0.9625866126130576, 0.9832198712958858, 0.9625866126130576, 0.9703735339558283, 0.9625866126130576, 0.9520164845522311, 1.0, 0.9485171643609107, 0.9832198712958858, 0.9520164845522311, 0.9520164845522311, 0.9703735339558283, 0.9625866126130576, 1.0, 0.9520164845522311]",spacy,0.5069727897644043,0,lime
27,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",0.9911540578917343,"[0.9918835913925409, 0.994088050948888, 0.9965042147865718, 0.9944670568706528, 0.9918835913925409, 0.9894218328187264, 0.9876261865686781, 0.9913712456512647, 0.994088050948888, 0.9894218328187264, 0.9848030501800296, 0.9941337510756141, 0.9965042147865718, 0.9876261865686781, 0.9848030501800296, 0.9872415986243743, 0.9944670568706528, 0.9913712456512647, 0.9941337510756141, 0.9872415986243743]",spacy,0.5718882083892822,0,lime
28,a fascinating but choppy documentary .,0.7396554299880944,"[1.0, 0.6068128284117614, 0.6641043369067258, 0.8841438381209905, 1.0, 0.6068128284117614, 0.6641043369067258, 0.8841438381209905, 0.6068128284117614, 0.6068128284117614, 0.9056778145214627, 0.6294600042108248, 0.6641043369067258, 0.6641043369067258, 0.9056778145214627, 0.5512944742696989, 0.8841438381209905, 0.8841438381209905, 0.6294600042108248, 0.5512944742696989]",spacy,0.4688117504119873,0,lime
29,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",0.9928009100402486,"[0.9983528843861819, 0.9984321805291667, 0.9926153652430548, 0.9923067253129937, 0.9983528843861819, 0.9977040397093423, 0.9889507119918165, 0.9929618466062603, 0.9984321805291667, 0.9977040397093423, 0.989181408668193, 0.9905172139793703, 0.9926153652430548, 0.9889507119918165, 0.989181408668193, 0.986986723976108, 0.9923067253129937, 0.9929618466062603, 0.9905172139793703, 0.986986723976108]",spacy,0.6311962604522705,0,lime
30,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",0.9963236578804084,"[0.9969857689198393, 0.9966653244534486, 0.9970295298390746, 0.9965797986915358, 0.9969857689198393, 0.9986134146674979, 0.9957376458220746, 0.9951953768329228, 0.9966653244534486, 0.9986134146674979, 0.9965438333016814, 0.9950965031997228, 0.9970295298390746, 0.9957376458220746, 0.9965438333016814, 0.9947893830762866, 0.9965797986915358, 0.9951953768329228, 0.9950965031997228, 0.9947893830762866]",spacy,0.6483795642852783,0,lime
31,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,0.9398283755599273,"[0.964301012107812, 0.9384629799639337, 0.9169787104599623, 0.9568986219375479, 0.964301012107812, 0.9410971557705684, 0.9614042965842005, 0.963465949178352, 0.9384629799639337, 0.9410971557705684, 0.8952012416170051, 0.9433367181481003, 0.9169787104599623, 0.9614042965842005, 0.8952012416170051, 0.9171370698317904, 0.9568986219375479, 0.963465949178352, 0.9433367181481003, 0.9171370698317904]",spacy,0.5239157676696777,0,lime
32,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,0.9881083457952642,"[0.9910240312818371, 0.9859980632342736, 0.9876134673383964, 0.986060562148547, 0.9910240312818371, 0.9901957239550472, 0.996240669357612, 0.9864898607479834, 0.9859980632342736, 0.9901957239550472, 0.9887127047934436, 0.9856967689515818, 0.9876134673383964, 0.996240669357612, 0.9887127047934436, 0.9830516061439193, 0.986060562148547, 0.9864898607479834, 0.9856967689515818, 0.9830516061439193]",spacy,0.7942144870758057,0,lime
33,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .",0.9878248701330954,"[0.9940972316907457, 0.9938382936421906, 0.9944330268786581, 0.9861789266396747, 0.9940972316907457, 0.987993247574269, 0.9935437529134366, 0.9793445071964048, 0.9938382936421906, 0.987993247574269, 0.9887373311003209, 0.9787508676085156, 0.9944330268786581, 0.9935437529134366, 0.9887373311003209, 0.9813315160867365, 0.9861789266396747, 0.9793445071964048, 0.9787508676085156, 0.9813315160867365]",spacy,0.710376501083374,0,lime
34,"the actors are so terrific at conveying their young angst , we do indeed feel for them .",0.9783334558892088,"[0.977908249780939, 0.9838667007451829, 0.9744841540144636, 0.9645441470772234, 0.977908249780939, 0.9854550549747689, 0.9810100588724424, 0.9874284790907971, 0.9838667007451829, 0.9854550549747689, 0.9782180939488062, 0.9780936988669288, 0.9744841540144636, 0.9810100588724424, 0.9782180939488062, 0.9723259215205352, 0.9645441470772234, 0.9874284790907971, 0.9780936988669288, 0.9723259215205352]",spacy,0.5508768558502197,0,lime
35,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .",0.9707684042558931,"[0.9660305911224043, 0.9764749637548187, 0.9729552797543872, 0.9647557064655126, 0.9660305911224043, 0.9839628276863799, 0.982996999572876, 0.9643175704936899, 0.9764749637548187, 0.9839628276863799, 0.9724941331651916, 0.9585540872757442, 0.9729552797543872, 0.982996999572876, 0.9724941331651916, 0.9651418832679248, 0.9647557064655126, 0.9643175704936899, 0.9585540872757442, 0.9651418832679248]",spacy,1.4147202968597412,0,lime
