,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.5625,0.45,l0,,81.23313617706299,1.4929032326
1,fake,DNN,0.4168553485858932,0.20380370846518475,pairwise,,81.23313617706299,1.4929032326
2,fake,DNN,0.5720775535473553,0.33541019662496846,cosine,,81.23313617706299,1.4929032326
3,fake,DNN,0.84660874367404,0.7689756393543554,spacy,,81.23313617706299,1.4929032326
0,fake,DNN,0.7777777777777778,0.38095238095238093,l0,,57.63392472267151,1.3766231537
1,fake,DNN,0.6029748160380571,0.2532094495161745,pairwise,,57.63392472267151,1.3766231537
2,fake,DNN,0.7777777777777778,0.3779644730092272,cosine,,57.63392472267151,1.3766231537
3,fake,DNN,0.9307915911337129,0.6760862800288897,spacy,,57.63392472267151,1.3766231537
0,fake,DNN,0.5,0.17424242424242425,l0,,93.99714851379395,1.3972218037
1,fake,DNN,0.23794411161289158,0.10112251282501054,pairwise,,93.99714851379395,1.3972218037
2,fake,DNN,0.41666666666666674,0.17407765595569785,cosine,,93.99714851379395,1.3972218037
3,fake,DNN,0.8758360922448357,0.6742939001442163,spacy,,93.99714851379395,1.3972218037
0,fake,DNN,0.4444444444444444,0.0,l0,,68.7556483745575,1.4359607697
1,fake,DNN,0.3112574675270537,0.0,pairwise,,68.7556483745575,1.4359607697
2,fake,DNN,0.4444444444444444,0.0,cosine,,68.7556483745575,1.4359607697
3,fake,DNN,0.7830312751755383,0.47669647601857496,spacy,,68.7556483745575,1.4359607697
0,fake,DNN,0.2111111111111111,0.31666666666666665,l0,,98.28795981407166,1.3749365807
1,fake,DNN,0.11914719328677728,0.18976728433844914,pairwise,,98.28795981407166,1.3749365807
2,fake,DNN,0.21081851067789195,0.30151134457776363,cosine,,98.28795981407166,1.3749365807
3,fake,DNN,0.7073592733726238,0.691707777685459,spacy,,98.28795981407166,1.3749365807
0,fake,DNN,0.8,0.225,l0,,65.78397560119629,1.4266886711
1,fake,DNN,0.7327068970668786,0.17320211972031022,pairwise,,65.78397560119629,1.4266886711
2,fake,DNN,0.7999999999999998,0.28603877677367767,cosine,,65.78397560119629,1.4266886711
3,fake,DNN,0.9354331129498366,0.7010086758504412,spacy,,65.78397560119629,1.4266886711
0,fake,DNN,0.625,0.45,l0,,55.3127760887146,1.35795784
1,fake,DNN,0.40298220897396103,0.2532094495161745,pairwise,,55.3127760887146,1.35795784
2,fake,DNN,0.6249999999999999,0.4472135954999579,cosine,,55.3127760887146,1.35795784
3,fake,DNN,0.7661304791620381,0.6735922370818626,spacy,,55.3127760887146,1.35795784
0,fake,DNN,0.6696428571428572,0.38095238095238093,l0,,87.57669138908386,1.3866627216
1,fake,DNN,0.5056055588739692,0.2532094495161745,pairwise,,87.57669138908386,1.3866627216
2,fake,DNN,0.6681531047810609,0.3779644730092272,cosine,,87.57669138908386,1.3866627216
3,fake,DNN,0.938280245724421,0.6692123563390769,spacy,,87.57669138908386,1.3866627216
0,fake,DNN,0.5714285714285714,0.6857142857142857,l0,,38.31264138221741,1.4331932068
1,fake,DNN,0.20199309249791833,0.4501755023269897,pairwise,,38.31264138221741,1.4331932068
2,fake,DNN,0.4285714285714285,0.6761234037828131,cosine,,38.31264138221741,1.4331932068
3,fake,DNN,0.8935132350931506,0.9242029155405692,spacy,,38.31264138221741,1.4331932068
0,fake,DNN,0.5,0.31666666666666665,l0,,79.43205785751343,1.4103825092
1,fake,DNN,0.36091094553587033,0.20380370846518475,pairwise,,79.43205785751343,1.4103825092
2,fake,DNN,0.4999999999999999,0.31622776601683794,cosine,,79.43205785751343,1.4103825092
3,fake,DNN,0.8508495225312237,0.5878301969610511,spacy,,79.43205785751343,1.4103825092
0,fake,DNN,0.3333333333333333,0.18333333333333335,l0,,67.71694135665894,1.3585903645
1,fake,DNN,0.29121941856368966,0.0,pairwise,,67.71694135665894,1.3585903645
2,fake,DNN,0.33333333333333337,0.18257418583505536,cosine,,67.71694135665894,1.3585903645
3,fake,DNN,0.6814673256264056,0.5032786530781572,spacy,,67.71694135665894,1.3585903645
0,fake,DNN,0.5357142857142857,0.0,l0,,67.19281840324402,1.4154195786
1,fake,DNN,0.40298220897396103,0.0,pairwise,,67.19281840324402,1.4154195786
2,fake,DNN,0.5345224838248487,0.0,cosine,,67.19281840324402,1.4154195786
3,fake,DNN,0.9118964107113936,0.4493396789989605,spacy,,67.19281840324402,1.4154195786
