,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.7285714285714285,0.45,l0,,0.09901928901672363,1.4929032326
1,fake,DNN,0.158724864555968,0.20380370846518475,pairwise,,0.09901928901672363,1.4929032326
2,fake,DNN,0.2558408596267325,0.33541019662496846,cosine,,0.09901928901672363,1.4929032326
3,fake,DNN,0.8952550253231417,0.7689756393543554,spacy,,0.09901928901672363,1.4929032326
0,fake,DNN,0.3333333333333333,0.0,l0,,0.09009480476379395,1.4995336532999999
1,fake,DNN,0.030662117910134748,0.0,pairwise,,0.09009480476379395,1.4995336532999999
2,fake,DNN,0.05773502691896258,0.0,cosine,,0.09009480476379395,1.4995336532999999
3,fake,DNN,0.5790590102159905,0.5031721072554747,spacy,,0.09009480476379395,1.4995336532999999
0,fake,DNN,0.7619047619047619,0.38095238095238093,l0,,0.044614553451538086,1.3766231537
1,fake,DNN,0.3169434500659641,0.2532094495161745,pairwise,,0.044614553451538086,1.3766231537
2,fake,DNN,0.5163977794943222,0.3779644730092272,cosine,,0.044614553451538086,1.3766231537
3,fake,DNN,0.9306227465235573,0.6760862800288897,spacy,,0.044614553451538086,1.3766231537
0,fake,DNN,0.5666666666666667,0.17424242424242425,l0,,0.1841442584991455,1.3972218037
1,fake,DNN,0.05578060985076119,0.10112251282501054,pairwise,,0.1841442584991455,1.3972218037
2,fake,DNN,0.0949157995752499,0.17407765595569785,cosine,,0.1841442584991455,1.3972218037
3,fake,DNN,0.8040615670844353,0.6742939001442163,spacy,,0.1841442584991455,1.3972218037
0,fake,DNN,0.5416666666666666,0.0,l0,,0.11090970039367676,1.4359607697
1,fake,DNN,0.04402436636695293,0.0,pairwise,,0.11090970039367676,1.4359607697
2,fake,DNN,0.08144629623753681,0.0,cosine,,0.11090970039367676,1.4359607697
3,fake,DNN,0.7116708041909869,0.47669647601857496,spacy,,0.11090970039367676,1.4359607697
0,fake,DNN,0.6000000000000001,0.2653846153846154,l0,,0.11852669715881348,1.3942704201
1,fake,DNN,0.1134183469734893,0.15668695047742567,pairwise,,0.11852669715881348,1.3942704201
2,fake,DNN,0.16816819849907813,0.3076923076923077,cosine,,0.11852669715881348,1.3942704201
