,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.45833333333333337,0.45,l0,,24.458892345428467,1.4929032326
1,fake,DNN,0.29876035114318833,0.20380370846518475,pairwise,,24.458892345428467,1.4929032326
2,fake,DNN,0.45643546458763845,0.33541019662496846,cosine,,24.458892345428467,1.4929032326
3,fake,DNN,0.7652928317783284,0.7689756393543554,spacy,,24.458892345428467,1.4929032326
0,fake,DNN,0.14583333333333331,0.0,l0,,23.66764211654663,1.4995336532999999
1,fake,DNN,0.07874460345594508,0.0,pairwise,,23.66764211654663,1.4995336532999999
2,fake,DNN,0.14433756729740646,0.0,cosine,,23.66764211654663,1.4995336532999999
3,fake,DNN,0.22396711720839743,0.5031721072554747,spacy,,23.66764211654663,1.4995336532999999
0,fake,DNN,0.6666666666666666,0.38095238095238093,l0,,8.118072509765625,1.3766231537
1,fake,DNN,0.4576241622696326,0.2532094495161745,pairwise,,8.118072509765625,1.3766231537
2,fake,DNN,0.6666666666666666,0.3779644730092272,cosine,,8.118072509765625,1.3766231537
3,fake,DNN,0.8683547286588431,0.6760862800288897,spacy,,8.118072509765625,1.3766231537
0,fake,DNN,0.29166666666666663,0.17424242424242425,l0,,20.364935874938965,1.3972218037
1,fake,DNN,0.17998891881180662,0.10112251282501054,pairwise,,20.364935874938965,1.3972218037
2,fake,DNN,0.2886751345948129,0.17407765595569785,cosine,,20.364935874938965,1.3972218037
3,fake,DNN,0.653698111719166,0.6742939001442163,spacy,,20.364935874938965,1.3972218037
0,fake,DNN,0.303030303030303,0.0,l0,,33.580435037612915,1.4359607697
1,fake,DNN,0.08938749293545313,0.0,pairwise,,33.580435037612915,1.4359607697
2,fake,DNN,0.16169041669088866,0.0,cosine,,33.580435037612915,1.4359607697
3,fake,DNN,0.6373636733529391,0.47669647601857496,spacy,,33.580435037612915,1.4359607697
0,fake,DNN,0.5142857142857142,0.2653846153846154,l0,,24.541001319885254,1.3942704201
1,fake,DNN,0.35251589276802947,0.15668695047742567,pairwise,,24.541001319885254,1.3942704201
2,fake,DNN,0.5188745216627709,0.3076923076923077,cosine,,24.541001319885254,1.3942704201
3,fake,DNN,0.7124345431163306,0.7071760704234299,spacy,,24.541001319885254,1.3942704201
0,fake,DNN,0.09401709401709402,0.31666666666666665,l0,,48.19001841545105,1.3749365807
1,fake,DNN,0.044079599467498704,0.18976728433844914,pairwise,,48.19001841545105,1.3749365807
2,fake,DNN,0.08333333333333333,0.30151134457776363,cosine,,48.19001841545105,1.3749365807
3,fake,DNN,0.23707629790895757,0.691707777685459,spacy,,48.19001841545105,1.3749365807
0,fake,DNN,0.7,0.225,l0,,12.12658166885376,1.4266886711
1,fake,DNN,0.44842249185239125,0.17320211972031022,pairwise,,12.12658166885376,1.4266886711
2,fake,DNN,0.6139406135149205,0.28603877677367767,cosine,,12.12658166885376,1.4266886711
3,fake,DNN,0.8910058024833476,0.7010086758504412,spacy,,12.12658166885376,1.4266886711
0,fake,DNN,0.8035714285714286,0.0,l0,,4.14151668548584,1.433971405
1,fake,DNN,0.6735205045780811,0.0,pairwise,,4.14151668548584,1.433971405
2,fake,DNN,0.8017837257372731,0.0,cosine,,4.14151668548584,1.433971405
3,fake,DNN,0.9437421461383295,0.29389689620532966,spacy,,4.14151668548584,1.433971405
0,fake,DNN,0.35416666666666663,0.45,l0,,19.766469955444336,1.35795784
1,fake,DNN,0.15592892548708362,0.2532094495161745,pairwise,,19.766469955444336,1.35795784
2,fake,DNN,0.35355339059327373,0.4472135954999579,cosine,,19.766469955444336,1.35795784
3,fake,DNN,0.4538024870573487,0.6735922370818626,spacy,,19.766469955444336,1.35795784
0,fake,DNN,0.21978021978021978,0.38095238095238093,l0,,32.37816786766052,1.3866627216
1,fake,DNN,0.11913689236190336,0.2532094495161745,pairwise,,32.37816786766052,1.3866627216
2,fake,DNN,0.20965696734438366,0.3779644730092272,cosine,,32.37816786766052,1.3866627216
3,fake,DNN,0.7106049572110983,0.6692123563390769,spacy,,32.37816786766052,1.3866627216
0,fake,DNN,0.2857142857142857,0.6857142857142857,l0,,20.88548755645752,1.4331932068
1,fake,DNN,0.15064018498706508,0.4501755023269897,pairwise,,20.88548755645752,1.4331932068
2,fake,DNN,0.23904572186687872,0.6761234037828131,cosine,,20.88548755645752,1.4331932068
3,fake,DNN,0.44381740024455485,0.9242029155405692,spacy,,20.88548755645752,1.4331932068
0,fake,DNN,0.2653846153846154,0.31666666666666665,l0,,32.23631048202515,1.4103825092
1,fake,DNN,0.15331735112518738,0.20380370846518475,pairwise,,32.23631048202515,1.4103825092
2,fake,DNN,0.2631174057921088,0.31622776601683794,cosine,,32.23631048202515,1.4103825092
3,fake,DNN,0.5324782264509936,0.5878301969610511,spacy,,32.23631048202515,1.4103825092
0,fake,DNN,0.5,0.18333333333333335,l0,,20.022233963012695,1.3585903645
1,fake,DNN,0.26242093626195995,0.0,pairwise,,20.022233963012695,1.3585903645
2,fake,DNN,0.47140452079103173,0.18257418583505536,cosine,,20.022233963012695,1.3585903645
3,fake,DNN,0.6552952507412168,0.5032786530781572,spacy,,20.022233963012695,1.3585903645
0,fake,DNN,0.22619047619047616,0.0,l0,,32.627909421920776,1.4154195786
1,fake,DNN,0.06123094334544521,0.0,pairwise,,32.627909421920776,1.4154195786
2,fake,DNN,0.1091089451179962,0.0,cosine,,32.627909421920776,1.4154195786
3,fake,DNN,0.5958641701502595,0.4493396789989605,spacy,,32.627909421920776,1.4154195786
0,fake,DNN,0.8444444444444444,0.11805555555555555,l0,,3.989647388458252,1.4263060093
1,fake,DNN,0.7327068970668786,0.05355095314996731,pairwise,,3.989647388458252,1.4263060093
2,fake,DNN,0.8432740427115678,0.10050378152592121,cosine,,3.989647388458252,1.4263060093
3,fake,DNN,0.9295483003867984,0.3675422717918556,spacy,,3.989647388458252,1.4263060093
0,fake,DNN,0.8080808080808081,0.2361111111111111,l0,,4.886554002761841,1.4112408161
1,fake,DNN,0.649891351552302,0.07874460345594507,pairwise,,4.886554002761841,1.4112408161
2,fake,DNN,0.8040302522073697,0.2357022603955158,cosine,,4.886554002761841,1.4112408161
3,fake,DNN,0.9147906476793252,0.6115392896126587,spacy,,4.886554002761841,1.4112408161
0,fake,DNN,0.48611111111111116,0.35416666666666663,l0,,19.676555395126343,1.3855359554
1,fake,DNN,0.22150013430590973,0.2532094495161745,pairwise,,19.676555395126343,1.3855359554
2,fake,DNN,0.4811252243246881,0.35355339059327373,cosine,,19.676555395126343,1.3855359554
3,fake,DNN,0.7443390419551296,0.7479034248927252,spacy,,19.676555395126343,1.3855359554
0,fake,DNN,0.33986928104575165,0.5902777777777778,l0,,41.35895371437073,1.425942421
1,fake,DNN,0.29807001187451676,0.5376010876815549,pairwise,,41.35895371437073,1.425942421
2,fake,DNN,0.45184805705753195,0.6963106238227914,cosine,,41.35895371437073,1.425942421
3,fake,DNN,0.8322043679003186,0.9087347208325389,spacy,,41.35895371437073,1.425942421
0,fake,DNN,0.2777777777777778,0.0,l0,,19.607842683792114,1.4087424278
1,fake,DNN,0.13627634143908643,0.0,pairwise,,19.607842683792114,1.4087424278
2,fake,DNN,0.23570226039551587,0.0,cosine,,19.607842683792114,1.4087424278
3,fake,DNN,0.2864449896639816,0.4586894502588473,spacy,,19.607842683792114,1.4087424278
0,fake,DNN,0.48611111111111116,0.4722222222222222,l0,,24.11928963661194,1.3907749652999999
1,fake,DNN,0.24129913647238907,0.3112574675270537,pairwise,,24.11928963661194,1.3907749652999999
2,fake,DNN,0.3849001794597505,0.4714045207910316,cosine,,24.11928963661194,1.3907749652999999
3,fake,DNN,0.8160000281005662,0.7197065857829433,spacy,,24.11928963661194,1.3907749652999999
0,fake,DNN,0.5844155844155844,0.14285714285714285,l0,,16.163963794708252,1.3981103897
1,fake,DNN,0.4071146526809138,0.07780894359285004,pairwise,,16.163963794708252,1.3981103897
2,fake,DNN,0.5698028822981898,0.14285714285714285,cosine,,16.163963794708252,1.3981103897
3,fake,DNN,0.8188310034376534,0.709888188231375,spacy,,16.163963794708252,1.3981103897
0,fake,DNN,0.5079365079365079,0.15476190476190477,l0,,7.879521131515503,1.4027462006
1,fake,DNN,0.2605556710562623,0.0,pairwise,,7.879521131515503,1.4027462006
2,fake,DNN,0.3779644730092272,0.1543033499620919,cosine,,7.879521131515503,1.4027462006
3,fake,DNN,0.7993084045022074,0.5769328843012487,spacy,,7.879521131515503,1.4027462006
0,fake,DNN,0.125,0.18333333333333335,l0,,35.82064628601074,1.4018809795
1,fake,DNN,0.07030492086459504,0.11234277891542777,pairwise,,35.82064628601074,1.4018809795
2,fake,DNN,0.11785113019775793,0.18257418583505536,cosine,,35.82064628601074,1.4018809795
3,fake,DNN,0.26143842847445553,0.3676066657711105,spacy,,35.82064628601074,1.4018809795
0,fake,DNN,0.225,0.11805555555555555,l0,,25.29294776916504,1.4114010334
1,fake,DNN,0.12735952979479354,0.06335481222196539,pairwise,,25.29294776916504,1.4114010334
2,fake,DNN,0.22360679774997896,0.1178511301977579,cosine,,25.29294776916504,1.4114010334
3,fake,DNN,0.5958968502151218,0.5322200548013885,spacy,,25.29294776916504,1.4114010334
0,fake,DNN,0.7552447552447552,0.3484848484848485,l0,,12.637389659881592,1.4139420986
1,fake,DNN,0.5803329846765685,0.22576484600261604,pairwise,,12.637389659881592,1.4139420986
