,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.75,0.0,l0,,63.263609409332275,0.0616581439971923
1,fake,DNN,0.6029748160380571,0.0,pairwise,,63.263609409332275,0.0616581439971923
2,fake,DNN,0.7499999999999999,0.0,cosine,,63.263609409332275,0.0616581439971923
3,fake,DNN,0.9404298653766225,0.41244422151587423,spacy,,63.263609409332275,0.0616581439971923
0,fake,DNN,0.9,0.175,l0,,56.35980296134949,0.0377309322357177
1,fake,DNN,0.7799154245579976,0.09867961797986956,pairwise,,56.35980296134949,0.0377309322357177
2,fake,DNN,0.8999999999999998,0.15811388300841897,cosine,,56.35980296134949,0.0377309322357177
3,fake,DNN,0.9772944820678099,0.6250539530666619,spacy,,56.35980296134949,0.0377309322357177
0,fake,DNN,0.26136363636363635,0.0,l0,,82.74656176567078,0.065258502960205
1,fake,DNN,0.14438355527738672,0.0,pairwise,,82.74656176567078,0.065258502960205
2,fake,DNN,0.23145502494313788,0.0,cosine,,82.74656176567078,0.065258502960205
3,fake,DNN,0.8114633058589313,0.4869885956426619,spacy,,82.74656176567078,0.065258502960205
0,fake,DNN,0.75,0.0,l0,,49.45957326889038,0.042720079421997
1,fake,DNN,0.6735205045780811,0.0,pairwise,,49.45957326889038,0.042720079421997
2,fake,DNN,0.7499999999999999,0.0,cosine,,49.45957326889038,0.042720079421997
3,fake,DNN,0.9672275958256471,0.4742434396222452,spacy,,49.45957326889038,0.042720079421997
0,fake,DNN,0.75,0.1625,l0,,35.747941970825195,0.0885360240936279
1,fake,DNN,0.6029748160380571,0.08704446792504215,pairwise,,35.747941970825195,0.0885360240936279
2,fake,DNN,0.7499999999999999,0.15811388300841897,cosine,,35.747941970825195,0.0885360240936279
3,fake,DNN,0.8831757494118193,0.5768230996720412,spacy,,35.747941970825195,0.0885360240936279
0,fake,DNN,0.5454545454545454,0.0,l0,,60.56436491012573,0.0545470714569091
1,fake,DNN,0.25233420143369617,0.0,pairwise,,60.56436491012573,0.0545470714569091
2,fake,DNN,0.45454545454545453,0.0,cosine,,60.56436491012573,0.0545470714569091
3,fake,DNN,0.886694704224798,0.4920914714095685,spacy,,60.56436491012573,0.0545470714569091
0,fake,DNN,0.875,0.0,l0,,56.89170718193054,0.0660574436187744
1,fake,DNN,0.7799154245579976,0.0,pairwise,,56.89170718193054,0.0660574436187744
2,fake,DNN,0.8749999999999998,0.0,cosine,,56.89170718193054,0.0660574436187744
3,fake,DNN,0.9694192266194925,0.38187074855345526,spacy,,56.89170718193054,0.0660574436187744
0,fake,DNN,0.7142857142857143,0.0,l0,,39.96426868438721,0.0511167049407959
1,fake,DNN,0.5586177528223194,0.0,pairwise,,39.96426868438721,0.0511167049407959
2,fake,DNN,0.7142857142857142,0.0,cosine,,39.96426868438721,0.0511167049407959
3,fake,DNN,0.8923577992444335,0.33314153217244835,spacy,,39.96426868438721,0.0511167049407959
0,fake,DNN,0.5,0.0,l0,,35.64052772521973,0.1029174327850341
1,fake,DNN,0.38087260847594373,0.0,pairwise,,35.64052772521973,0.1029174327850341
2,fake,DNN,0.5000000000000001,0.0,cosine,,35.64052772521973,0.1029174327850341
3,fake,DNN,0.8724528551192858,0.4756581951558459,spacy,,35.64052772521973,0.1029174327850341
0,fake,DNN,0.6666666666666666,0.1388888888888889,l0,,59.59115791320801,0.0663621425628662
1,fake,DNN,0.40298220897396103,0.0,pairwise,,59.59115791320801,0.0663621425628662
2,fake,DNN,0.6666666666666666,0.13608276348795434,cosine,,59.59115791320801,0.0663621425628662
3,fake,DNN,0.8960125386717571,0.6281001213978732,spacy,,59.59115791320801,0.0663621425628662
0,fake,DNN,0.6,0.0,l0,,56.56527638435364,0.0535740852355957
1,fake,DNN,0.46598909712311054,0.0,pairwise,,56.56527638435364,0.0535740852355957
2,fake,DNN,0.5999999999999999,0.0,cosine,,56.56527638435364,0.0535740852355957
3,fake,DNN,0.9096589945180014,0.5067462480183464,spacy,,56.56527638435364,0.0535740852355957
0,fake,DNN,0.31666666666666665,0.0,l0,,80.51085710525513,0.0385262966156005
1,fake,DNN,0.2169338170113969,0.0,pairwise,,80.51085710525513,0.0385262966156005
2,fake,DNN,0.31622776601683794,0.0,cosine,,80.51085710525513,0.0385262966156005
3,fake,DNN,0.8145204976698193,0.5501629772406776,spacy,,80.51085710525513,0.0385262966156005
0,fake,DNN,0.5833333333333333,0.0,l0,,40.11367058753967,0.057253360748291
1,fake,DNN,0.4112070550676187,0.0,pairwise,,40.11367058753967,0.057253360748291
2,fake,DNN,0.5773502691896258,0.0,cosine,,40.11367058753967,0.057253360748291
3,fake,DNN,0.8231941928942554,0.30836609305322554,spacy,,40.11367058753967,0.057253360748291
0,fake,DNN,0.6,0.0,l0,,68.91694474220276,0.0750849246978759
1,fake,DNN,0.43161341897075156,0.0,pairwise,,68.91694474220276,0.0750849246978759
2,fake,DNN,0.5999999999999999,0.0,cosine,,68.91694474220276,0.0750849246978759
3,fake,DNN,0.8673699141593971,0.6178711439728813,spacy,,68.91694474220276,0.0750849246978759
0,fake,DNN,0.5,0.0,l0,,27.096307516098022,0.1388120651245117
1,fake,DNN,0.3360969272762574,0.0,pairwise,,27.096307516098022,0.1388120651245117
2,fake,DNN,0.4999999999999999,0.0,cosine,,27.096307516098022,0.1388120651245117
3,fake,DNN,0.7706478491741542,0.5018011605676836,spacy,,27.096307516098022,0.1388120651245117
0,fake,DNN,0.8,0.0,l0,,56.8904082775116,0.0989491939544677
1,fake,DNN,0.6694188517266484,0.0,pairwise,,56.8904082775116,0.0989491939544677
2,fake,DNN,0.7999999999999998,0.0,cosine,,56.8904082775116,0.0989491939544677
3,fake,DNN,0.9326113866342037,0.5118477892250249,spacy,,56.8904082775116,0.0989491939544677
0,fake,DNN,0.7142857142857143,0.0,l0,,45.37513756752014,0.1000065803527832
1,fake,DNN,0.5586177528223194,0.0,pairwise,,45.37513756752014,0.1000065803527832
2,fake,DNN,0.7142857142857142,0.0,cosine,,45.37513756752014,0.1000065803527832
3,fake,DNN,0.8443737697717959,0.31216052765531604,spacy,,45.37513756752014,0.1000065803527832
0,fake,DNN,0.75,0.0,l0,,44.19139266014099,0.0623142719268798
1,fake,DNN,0.6029748160380571,0.0,pairwise,,44.19139266014099,0.0623142719268798
2,fake,DNN,0.7499999999999999,0.0,cosine,,44.19139266014099,0.0623142719268798
3,fake,DNN,0.9629010354763222,0.66573786658039,spacy,,44.19139266014099,0.0623142719268798
0,fake,DNN,0.8035714285714286,0.0,l0,,48.18956637382507,0.0631890296936035
1,fake,DNN,0.6735205045780811,0.0,pairwise,,48.18956637382507,0.0631890296936035
2,fake,DNN,0.8017837257372731,0.0,cosine,,48.18956637382507,0.0631890296936035
3,fake,DNN,0.8980208392024962,0.3567078426765895,spacy,,48.18956637382507,0.0631890296936035
0,fake,DNN,0.8181818181818182,0.0,l0,,58.04002809524536,0.0591382980346679
1,fake,DNN,0.7548969126692828,0.0,pairwise,,58.04002809524536,0.0591382980346679
2,fake,DNN,0.8181818181818182,0.0,cosine,,58.04002809524536,0.0591382980346679
3,fake,DNN,0.9679669256317364,0.2656464708946675,spacy,,58.04002809524536,0.0591382980346679
0,fake,DNN,0.5,0.0,l0,,53.67531752586365,0.0650932788848877
1,fake,DNN,0.36802320875611494,0.0,pairwise,,53.67531752586365,0.0650932788848877
2,fake,DNN,0.4999999999999999,0.0,cosine,,53.67531752586365,0.0650932788848877
3,fake,DNN,0.8534153966010534,0.5165780768232093,spacy,,53.67531752586365,0.0650932788848877
0,fake,DNN,0.2,0.0,l0,,55.7534818649292,0.062321662902832
1,fake,DNN,0.11914719328677728,0.0,pairwise,,55.7534818649292,0.062321662902832
2,fake,DNN,0.19999999999999996,0.0,cosine,,55.7534818649292,0.062321662902832
3,fake,DNN,0.7068286381896736,0.45368707629245275,spacy,,55.7534818649292,0.062321662902832
0,fake,DNN,0.5357142857142857,0.0,l0,,41.4223210811615,0.0716731548309326
1,fake,DNN,0.40298220897396103,0.0,pairwise,,41.4223210811615,0.0716731548309326
2,fake,DNN,0.5345224838248487,0.0,cosine,,41.4223210811615,0.0716731548309326
3,fake,DNN,0.8400875754756734,0.5673801809800827,spacy,,41.4223210811615,0.0716731548309326
0,fake,DNN,0.5397727272727273,0.12878787878787878,l0,,53.25113272666931,0.0539875030517578
1,fake,DNN,0.29670081122577385,0.08340941143953931,pairwise,,53.25113272666931,0.0539875030517578
2,fake,DNN,0.45454545454545453,0.12309149097933275,cosine,,53.25113272666931,0.0539875030517578
3,fake,DNN,0.8447581416593515,0.5705841889666075,spacy,,53.25113272666931,0.0539875030517578
0,fake,DNN,0.5714285714285714,0.0,l0,,49.51265072822571,0.0564391613006591
1,fake,DNN,0.3808726084759436,0.0,pairwise,,49.51265072822571,0.0564391613006591
2,fake,DNN,0.5714285714285714,0.0,cosine,,49.51265072822571,0.0564391613006591
3,fake,DNN,0.7462763200821546,0.43551141335435734,spacy,,49.51265072822571,0.0564391613006591
0,fake,DNN,0.42857142857142855,0.0,l0,,50.733339071273804,0.0534312725067138
1,fake,DNN,0.20199309249791833,0.0,pairwise,,50.733339071273804,0.0534312725067138
2,fake,DNN,0.4285714285714285,0.0,cosine,,50.733339071273804,0.0534312725067138
3,fake,DNN,0.5899275542544136,0.4068501886848022,spacy,,50.733339071273804,0.0534312725067138
