,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.875,0.0,l0,,0.35508275032043457,0.0616581439971923
1,fake,DNN,0.7799154245579976,0.0,pairwise,,0.35508275032043457,0.0616581439971923
2,fake,DNN,0.8749999999999998,0.0,cosine,,0.35508275032043457,0.0616581439971923
3,fake,DNN,0.9749697757167278,0.41244422151587423,spacy,,0.35508275032043457,0.0616581439971923
0,fake,DNN,0.8,0.175,l0,,0.14171648025512695,0.0377309322357177
1,fake,DNN,0.8181802073667195,0.09867961797986956,pairwise,,0.14171648025512695,0.0377309322357177
2,fake,DNN,0.7999999999999998,0.15811388300841897,cosine,,0.14171648025512695,0.0377309322357177
3,fake,DNN,0.9599968816218569,0.6250539530666619,spacy,,0.14171648025512695,0.0377309322357177
0,fake,DNN,0.2403846153846154,0.0,l0,,3.9445457458496094,0.065258502960205
1,fake,DNN,0.13797394741164487,0.0,pairwise,,3.9445457458496094,0.065258502960205
2,fake,DNN,0.24019223070763074,0.0,cosine,,3.9445457458496094,0.065258502960205
3,fake,DNN,0.7729401940437179,0.4869885956426619,spacy,,3.9445457458496094,0.065258502960205
0,fake,DNN,0.5357142857142857,0.0,l0,,0.7483718395233154,0.042720079421997
1,fake,DNN,0.40298220897396103,0.0,pairwise,,0.7483718395233154,0.042720079421997
2,fake,DNN,0.5345224838248487,0.0,cosine,,0.7483718395233154,0.042720079421997
3,fake,DNN,0.8322444970942182,0.4742434396222452,spacy,,0.7483718395233154,0.042720079421997
0,fake,DNN,0.75,0.1625,l0,,0.12604403495788574,0.0885360240936279
1,fake,DNN,0.6029748160380571,0.08704446792504215,pairwise,,0.12604403495788574,0.0885360240936279
2,fake,DNN,0.7499999999999999,0.15811388300841897,cosine,,0.12604403495788574,0.0885360240936279
3,fake,DNN,0.9239249425103289,0.5768230996720412,spacy,,0.12604403495788574,0.0885360240936279
0,fake,DNN,0.4356060606060606,0.0,l0,,2.4076380729675293,0.0545470714569091
1,fake,DNN,0.22576484600261604,0.0,pairwise,,2.4076380729675293,0.0545470714569091
2,fake,DNN,0.3481553119113957,0.0,cosine,,2.4076380729675293,0.0545470714569091
3,fake,DNN,0.7175415413165489,0.4920914714095685,spacy,,2.4076380729675293,0.0545470714569091
0,fake,DNN,0.8263888888888888,0.0,l0,,0.13609957695007324,0.0660574436187744
1,fake,DNN,0.7060777744337088,0.0,pairwise,,0.13609957695007324,0.0660574436187744
2,fake,DNN,0.8249579113843053,0.0,cosine,,0.13609957695007324,0.0660574436187744
3,fake,DNN,0.9621570529205109,0.38187074855345526,spacy,,0.13609957695007324,0.0660574436187744
0,fake,DNN,0.55,0.0,l0,,0.19121193885803223,0.1029174327850341
1,fake,DNN,0.43161341897075145,0.0,pairwise,,0.19121193885803223,0.1029174327850341
2,fake,DNN,0.5477225575051661,0.0,cosine,,0.19121193885803223,0.1029174327850341
3,fake,DNN,0.8008074946338168,0.4756581951558459,spacy,,0.19121193885803223,0.1029174327850341
0,fake,DNN,0.48611111111111116,0.1388888888888889,l0,,0.8911488056182861,0.0663621425628662
1,fake,DNN,0.30069751492635505,0.0,pairwise,,0.8911488056182861,0.0663621425628662
2,fake,DNN,0.4811252243246881,0.13608276348795434,cosine,,0.8911488056182861,0.0663621425628662
3,fake,DNN,0.8675723765529112,0.6281001213978732,spacy,,0.8911488056182861,0.0663621425628662
0,fake,DNN,0.6,0.0,l0,,0.7095644474029541,0.0535740852355957
1,fake,DNN,0.3360969272762575,0.0,pairwise,,0.7095644474029541,0.0535740852355957
2,fake,DNN,0.4999999999999999,0.0,cosine,,0.7095644474029541,0.0535740852355957
3,fake,DNN,0.8762727023753409,0.5067462480183464,spacy,,0.7095644474029541,0.0535740852355957
0,fake,DNN,0.37606837606837606,0.0,l0,,3.3872718811035156,0.0385262966156005
1,fake,DNN,0.23009575785838715,0.0,pairwise,,3.3872718811035156,0.0385262966156005
2,fake,DNN,0.36980013081681945,0.0,cosine,,3.3872718811035156,0.0385262966156005
3,fake,DNN,0.8352117616823147,0.5501629772406776,spacy,,3.3872718811035156,0.0385262966156005
0,fake,DNN,0.3333333333333333,0.0,l0,,0.09830760955810547,0.057253360748291
1,fake,DNN,0.20199309249791833,0.0,pairwise,,0.09830760955810547,0.057253360748291
2,fake,DNN,0.33333333333333337,0.0,cosine,,0.09830760955810547,0.057253360748291
3,fake,DNN,0.7795227056170004,0.30836609305322554,spacy,,0.09830760955810547,0.057253360748291
0,fake,DNN,0.38181818181818183,0.0,l0,,2.451716423034668,0.0750849246978759
1,fake,DNN,0.23794411161289158,0.0,pairwise,,2.451716423034668,0.0750849246978759
2,fake,DNN,0.38138503569823695,0.0,cosine,,2.451716423034668,0.0750849246978759
3,fake,DNN,0.8123231674112311,0.6178711439728813,spacy,,2.451716423034668,0.0750849246978759
0,fake,DNN,0.0,0.0,l0,,0.14020633697509766,0.1388120651245117
1,fake,DNN,0.0,0.0,pairwise,,0.14020633697509766,0.1388120651245117
2,fake,DNN,0.0,0.0,cosine,,0.14020633697509766,0.1388120651245117
3,fake,DNN,0.5039331167866975,0.5018011605676836,spacy,,0.14020633697509766,0.1388120651245117
0,fake,DNN,0.8,0.0,l0,,0.1660165786743164,0.0989491939544677
1,fake,DNN,0.6694188517266484,0.0,pairwise,,0.1660165786743164,0.0989491939544677
2,fake,DNN,0.7999999999999998,0.0,cosine,,0.1660165786743164,0.0989491939544677
3,fake,DNN,0.9621154053649251,0.5118477892250249,spacy,,0.1660165786743164,0.0989491939544677
0,fake,DNN,0.5714285714285714,0.0,l0,,0.7259707450866699,0.1000065803527832
1,fake,DNN,0.40298220897396103,0.0,pairwise,,0.7259707450866699,0.1000065803527832
2,fake,DNN,0.5714285714285714,0.0,cosine,,0.7259707450866699,0.1000065803527832
3,fake,DNN,0.8158641116780415,0.31216052765531604,spacy,,0.7259707450866699,0.1000065803527832
0,fake,DNN,0.7285714285714285,0.0,l0,,0.8505096435546875,0.0631890296936035
1,fake,DNN,0.5698344537068067,0.0,pairwise,,0.8505096435546875,0.0631890296936035
2,fake,DNN,0.7171371656006361,0.0,cosine,,0.8505096435546875,0.0631890296936035
3,fake,DNN,0.8363307932110694,0.3567078426765895,spacy,,0.8505096435546875,0.0631890296936035
0,fake,DNN,0.487012987012987,0.0,l0,,1.0771749019622803,0.0591382980346679
1,fake,DNN,0.3614023978215318,0.0,pairwise,,1.0771749019622803,0.0591382980346679
2,fake,DNN,0.48349377841522817,0.0,cosine,,1.0771749019622803,0.0591382980346679
3,fake,DNN,0.8558024357095165,0.2656464708946675,spacy,,1.0771749019622803,0.0591382980346679
0,fake,DNN,0.5902777777777778,0.0,l0,,0.4213082790374756,0.0650932788848877
1,fake,DNN,0.42113589132819573,0.0,pairwise,,0.4213082790374756,0.0650932788848877
2,fake,DNN,0.5892556509887895,0.0,cosine,,0.4213082790374756,0.0650932788848877
3,fake,DNN,0.8847162600767022,0.5165780768232093,spacy,,0.4213082790374756,0.0650932788848877
0,fake,DNN,0.5,0.0,l0,,2.7118656635284424,0.062321662902832
1,fake,DNN,0.3360969272762575,0.0,pairwise,,2.7118656635284424,0.062321662902832
2,fake,DNN,0.4999999999999999,0.0,cosine,,2.7118656635284424,0.062321662902832
3,fake,DNN,0.867765696261302,0.45368707629245275,spacy,,2.7118656635284424,0.062321662902832
0,fake,DNN,0.5,0.0,l0,,0.49148035049438477,0.0716731548309326
1,fake,DNN,0.36802320875611494,0.0,pairwise,,0.49148035049438477,0.0716731548309326
2,fake,DNN,0.4999999999999999,0.0,cosine,,0.49148035049438477,0.0716731548309326
3,fake,DNN,0.8216080629437307,0.5673801809800827,spacy,,0.49148035049438477,0.0716731548309326
0,fake,DNN,0.3484848484848485,0.12878787878787878,l0,,0.8218302726745605,0.0539875030517578
1,fake,DNN,0.2128899507490235,0.08340941143953931,pairwise,,0.8218302726745605,0.0539875030517578
2,fake,DNN,0.3481553119113957,0.12309149097933275,cosine,,0.8218302726745605,0.0539875030517578
3,fake,DNN,0.7934826778386439,0.5705841889666075,spacy,,0.8218302726745605,0.0539875030517578
0,fake,DNN,0.5357142857142857,0.0,l0,,0.6603119373321533,0.0564391613006591
1,fake,DNN,0.18443191662261305,0.0,pairwise,,0.6603119373321533,0.0564391613006591
2,fake,DNN,0.40089186286863654,0.0,cosine,,0.6603119373321533,0.0564391613006591
3,fake,DNN,0.661639448748879,0.43551141335435734,spacy,,0.6603119373321533,0.0564391613006591
0,fake,DNN,0.7777777777777778,0.15555555555555556,l0,,0.26067638397216797,0.071934700012207
1,fake,DNN,0.6392306240536284,0.08176804146599938,pairwise,,0.26067638397216797,0.071934700012207
2,fake,DNN,0.7777777777777778,0.14907119849998599,cosine,,0.26067638397216797,0.071934700012207
3,fake,DNN,0.9319655186167274,0.5538443664158655,spacy,,0.26067638397216797,0.071934700012207
0,fake,DNN,0.875,0.0,l0,,0.21407008171081543,0.0768282413482666
1,fake,DNN,0.7168117414430624,0.0,pairwise,,0.21407008171081543,0.0768282413482666
2,fake,DNN,0.8749999999999998,0.0,cosine,,0.21407008171081543,0.0768282413482666
3,fake,DNN,0.9616155066367211,0.28831676656061683,spacy,,0.21407008171081543,0.0768282413482666
0,fake,DNN,0.5277777777777778,0.0,l0,,1.0741775035858154,0.0437333583831787
1,fake,DNN,0.42113589132819573,0.0,pairwise,,1.0741775035858154,0.0437333583831787
2,fake,DNN,0.5270462766947299,0.0,cosine,,1.0741775035858154,0.0437333583831787
3,fake,DNN,0.8791789896270285,0.5820008835440564,spacy,,1.0741775035858154,0.0437333583831787
0,fake,DNN,0.8666666666666667,0.0,l0,,0.1280832290649414,0.0642368793487548
1,fake,DNN,0.8159466395833366,0.0,pairwise,,0.1280832290649414,0.0642368793487548
2,fake,DNN,0.8888888888888891,0.0,cosine,,0.1280832290649414,0.0642368793487548
3,fake,DNN,0.9784878404599129,0.6310002366004129,spacy,,0.1280832290649414,0.0642368793487548
0,fake,DNN,0.8333333333333334,0.0,l0,,0.6724269390106201,0.0506651401519775
1,fake,DNN,0.6392306240536284,0.0,pairwise,,0.6724269390106201,0.0506651401519775
2,fake,DNN,0.8333333333333335,0.0,cosine,,0.6724269390106201,0.0506651401519775
3,fake,DNN,0.9700073219550991,0.4312812070220716,spacy,,0.6724269390106201,0.0506651401519775
0,fake,DNN,0.625,0.0,l0,,0.6638326644897461,0.0809626579284668
1,fake,DNN,0.4576241622696326,0.0,pairwise,,0.6638326644897461,0.0809626579284668
2,fake,DNN,0.6249999999999999,0.0,cosine,,0.6638326644897461,0.0809626579284668
3,fake,DNN,0.8547361729447333,0.6005518821503407,spacy,,0.6638326644897461,0.0809626579284668
0,fake,DNN,0.17424242424242425,0.0,l0,,3.626844882965088,0.0301413536071777
1,fake,DNN,0.10163066979112656,0.0,pairwise,,3.626844882965088,0.0301413536071777
2,fake,DNN,0.17407765595569785,0.0,cosine,,3.626844882965088,0.0301413536071777
3,fake,DNN,0.5625970496913953,0.7141395174805971,spacy,,3.626844882965088,0.0301413536071777
0,fake,DNN,0.40404040404040403,0.1388888888888889,l0,,2.4935431480407715,0.0437550544738769
1,fake,DNN,0.17952265829918895,0.08176804146599938,pairwise,,2.4935431480407715,0.0437550544738769
2,fake,DNN,0.30151134457776363,0.13608276348795434,cosine,,2.4935431480407715,0.0437550544738769
3,fake,DNN,0.7025833310083798,0.6946347340770976,spacy,,2.4935431480407715,0.0437550544738769
0,fake,DNN,0.75,0.0,l0,,0.2868778705596924,0.0945751667022705
1,fake,DNN,0.5744651733947116,0.0,pairwise,,0.2868778705596924,0.0945751667022705
2,fake,DNN,0.7500000000000001,0.0,cosine,,0.2868778705596924,0.0945751667022705
3,fake,DNN,0.954136694290519,0.41870500628851764,spacy,,0.2868778705596924,0.0945751667022705
0,fake,DNN,0.10555555555555556,0.0,l0,,1.6197996139526367,0.0473394393920898
1,fake,DNN,0.05629715757507138,0.0,pairwise,,1.6197996139526367,0.0473394393920898
2,fake,DNN,0.10540925533894598,0.0,cosine,,1.6197996139526367,0.0473394393920898
3,fake,DNN,0.5069305379423605,0.5294963829262379,spacy,,1.6197996139526367,0.0473394393920898
0,fake,DNN,0.3666666666666667,0.0,l0,,0.3026888370513916,0.0378286838531494
1,fake,DNN,0.22576484600261604,0.0,pairwise,,0.3026888370513916,0.0378286838531494
2,fake,DNN,0.3651483716701107,0.0,cosine,,0.3026888370513916,0.0378286838531494
3,fake,DNN,0.648578061635031,0.5487119110421553,spacy,,0.3026888370513916,0.0378286838531494
0,fake,DNN,0.23376623376623376,0.0,l0,,1.8327584266662598,0.0587248802185058
1,fake,DNN,0.13049436152984825,0.0,pairwise,,1.8327584266662598,0.0587248802185058
2,fake,DNN,0.2279211529192759,0.0,cosine,,1.8327584266662598,0.0587248802185058
3,fake,DNN,0.6369422225420631,0.5037525062777504,spacy,,1.8327584266662598,0.0587248802185058
0,fake,DNN,0.6696428571428572,0.0,l0,,0.3061258792877197,0.0566785335540771
1,fake,DNN,0.5586177528223194,0.0,pairwise,,0.3061258792877197,0.0566785335540771
2,fake,DNN,0.6681531047810609,0.0,cosine,,0.3061258792877197,0.0566785335540771
3,fake,DNN,0.8765394476264592,0.5552501261827577,spacy,,0.3061258792877197,0.0566785335540771
0,fake,DNN,0.5,0.0,l0,,0.6109914779663086,0.0428016185760498
1,fake,DNN,0.3360969272762574,0.0,pairwise,,0.6109914779663086,0.0428016185760498
2,fake,DNN,0.4999999999999999,0.0,cosine,,0.6109914779663086,0.0428016185760498
3,fake,DNN,0.9112573425111142,0.5094906874500911,spacy,,0.6109914779663086,0.0428016185760498
0,fake,DNN,0.7333333333333334,0.0,l0,,0.11226463317871094,0.0597214698791503
1,fake,DNN,0.7092972666062737,0.0,pairwise,,0.11226463317871094,0.0597214698791503
