,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,fake,DNN,0.8035714285714286,0.0,l0,,0.04728388786315918,0.0616581439971923
1,fake,DNN,0.39006559536774454,0.0,pairwise,,0.04728388786315918,0.0616581439971923
2,fake,DNN,0.5477225575051661,0.0,cosine,,0.04728388786315918,0.0616581439971923
3,fake,DNN,0.9651692777110084,0.41244422151587423,spacy,,0.04728388786315918,0.0616581439971923
0,fake,DNN,0.7875,0.175,l0,,0.045206308364868164,0.0377309322357177
1,fake,DNN,0.3169434500659641,0.09867961797986956,pairwise,,0.045206308364868164,0.0377309322357177
2,fake,DNN,0.5533985905294664,0.15811388300841897,cosine,,0.045206308364868164,0.0377309322357177
3,fake,DNN,0.9022844262020252,0.6250539530666619,spacy,,0.045206308364868164,0.0377309322357177
0,fake,DNN,0.41666666666666663,0.0,l0,,0.190690279006958,0.065258502960205
1,fake,DNN,0.023399507928462758,0.0,pairwise,,0.190690279006958,0.065258502960205
2,fake,DNN,0.044151078568834795,0.0,cosine,,0.190690279006958,0.065258502960205
3,fake,DNN,0.6158450398773981,0.4869885956426619,spacy,,0.190690279006958,0.065258502960205
0,fake,DNN,0.4583333333333333,0.0,l0,,0.10300159454345703,0.042720079421997
1,fake,DNN,0.05121112974829783,0.0,pairwise,,0.10300159454345703,0.042720079421997
2,fake,DNN,0.08703882797784891,0.0,cosine,,0.10300159454345703,0.042720079421997
3,fake,DNN,0.7830698282789816,0.4742434396222452,spacy,,0.10300159454345703,0.042720079421997
0,fake,DNN,0.8035714285714286,0.1625,l0,,0.042465925216674805,0.0885360240936279
1,fake,DNN,0.39006559536774454,0.08704446792504215,pairwise,,0.042465925216674805,0.0885360240936279
2,fake,DNN,0.5477225575051661,0.15811388300841897,cosine,,0.042465925216674805,0.0885360240936279
3,fake,DNN,0.9321889126718412,0.5768230996720412,spacy,,0.042465925216674805,0.0885360240936279
0,fake,DNN,0.6439393939393939,0.0,l0,,0.12301182746887207,0.0545470714569091
1,fake,DNN,0.07845011918289502,0.0,pairwise,,0.12301182746887207,0.0545470714569091
2,fake,DNN,0.16256402219058877,0.0,cosine,,0.12301182746887207,0.0545470714569091
3,fake,DNN,0.8256080872350481,0.4920914714095685,spacy,,0.12301182746887207,0.0545470714569091
0,fake,DNN,0.875,0.0,l0,,0.045667171478271484,0.0660574436187744
1,fake,DNN,0.46939638675423867,0.0,pairwise,,0.045667171478271484,0.0660574436187744
2,fake,DNN,0.6187184335382291,0.0,cosine,,0.045667171478271484,0.0660574436187744
3,fake,DNN,0.9556340280228084,0.38187074855345526,spacy,,0.045667171478271484,0.0660574436187744
0,fake,DNN,0.7738095238095238,0.0,l0,,0.04276227951049805,0.0511167049407959
1,fake,DNN,0.3501746267226755,0.0,pairwise,,0.04276227951049805,0.0511167049407959
2,fake,DNN,0.5050762722761054,0.0,cosine,,0.04276227951049805,0.0511167049407959
3,fake,DNN,0.9102282026839337,0.33314153217244835,spacy,,0.04276227951049805,0.0511167049407959
0,fake,DNN,0.625,0.0,l0,,0.052495718002319336,0.1029174327850341
1,fake,DNN,0.19343572919137259,0.0,pairwise,,0.052495718002319336,0.1029174327850341
2,fake,DNN,0.2809757434745082,0.0,cosine,,0.052495718002319336,0.1029174327850341
3,fake,DNN,0.8830101651974611,0.4756581951558459,spacy,,0.052495718002319336,0.1029174327850341
0,fake,DNN,0.6222222222222222,0.1388888888888889,l0,,0.13606953620910645,0.0663621425628662
1,fake,DNN,0.06416354895416784,0.0,pairwise,,0.13606953620910645,0.0663621425628662
2,fake,DNN,0.1307440900921227,0.13608276348795434,cosine,,0.13606953620910645,0.0663621425628662
3,fake,DNN,0.8164007766815743,0.6281001213978732,spacy,,0.13606953620910645,0.0663621425628662
0,fake,DNN,0.6666666666666667,0.0,l0,,0.06793880462646484,0.0535740852355957
1,fake,DNN,0.17578607839334615,0.0,pairwise,,0.06793880462646484,0.0535740852355957
2,fake,DNN,0.28867513459481287,0.0,cosine,,0.06793880462646484,0.0535740852355957
3,fake,DNN,0.9061042793309869,0.5067462480183464,spacy,,0.06793880462646484,0.0535740852355957
0,fake,DNN,0.5416666666666666,0.0,l0,,0.17557454109191895,0.0385262966156005
1,fake,DNN,0.0459144479947444,0.0,pairwise,,0.17557454109191895,0.0385262966156005
2,fake,DNN,0.08247860988423225,0.0,cosine,,0.17557454109191895,0.0385262966156005
3,fake,DNN,0.7247845991387413,0.5501629772406776,spacy,,0.17557454109191895,0.0385262966156005
0,fake,DNN,0.41666666666666663,0.0,l0,,0.042862892150878906,0.057253360748291
1,fake,DNN,0.10371551133313005,0.0,pairwise,,0.042862892150878906,0.057253360748291
2,fake,DNN,0.18257418583505536,0.0,cosine,,0.042862892150878906,0.057253360748291
3,fake,DNN,0.5515479972169224,0.30836609305322554,spacy,,0.042862892150878906,0.057253360748291
0,fake,DNN,0.6000000000000001,0.0,l0,,0.09663796424865723,0.0750849246978759
1,fake,DNN,0.10007061820198163,0.0,pairwise,,0.09663796424865723,0.0750849246978759
2,fake,DNN,0.17374889710522773,0.0,cosine,,0.09663796424865723,0.0750849246978759
3,fake,DNN,0.8402534286660349,0.6178711439728813,spacy,,0.09663796424865723,0.0750849246978759
0,fake,DNN,0.5,0.0,l0,,0.04081010818481445,0.1388120651245117
1,fake,DNN,0.1337850929463124,0.0,pairwise,,0.04081010818481445,0.1388120651245117
2,fake,DNN,0.22360679774997896,0.0,cosine,,0.04081010818481445,0.1388120651245117
3,fake,DNN,0.7802733159110686,0.5018011605676836,spacy,,0.04081010818481445,0.1388120651245117
0,fake,DNN,0.7875,0.0,l0,,0.045905113220214844,0.0989491939544677
1,fake,DNN,0.39114068345854863,0.0,pairwise,,0.045905113220214844,0.0989491939544677
2,fake,DNN,0.5533985905294664,0.0,cosine,,0.045905113220214844,0.0989491939544677
3,fake,DNN,0.9614677150415826,0.5118477892250249,spacy,,0.045905113220214844,0.0989491939544677
0,fake,DNN,0.5892857142857143,0.0,l0,,0.28122949600219727,0.1000065803527832
1,fake,DNN,0.10554493425696253,0.0,pairwise,,0.28122949600219727,0.1000065803527832
2,fake,DNN,0.1815682598006407,0.0,cosine,,0.28122949600219727,0.1000065803527832
3,fake,DNN,0.7388182804572141,0.31216052765531604,spacy,,0.28122949600219727,0.1000065803527832
0,fake,DNN,0.5833333333333333,0.0,l0,,0.043427228927612305,0.0623142719268798
1,fake,DNN,0.2379030946332623,0.0,pairwise,,0.043427228927612305,0.0623142719268798
2,fake,DNN,0.3779644730092272,0.0,cosine,,0.043427228927612305,0.0623142719268798
3,fake,DNN,0.7899379573464199,0.66573786658039,spacy,,0.043427228927612305,0.0623142719268798
0,fake,DNN,0.5892857142857143,0.0,l0,,0.07905435562133789,0.0631890296936035
1,fake,DNN,0.10554493425696253,0.0,pairwise,,0.07905435562133789,0.0631890296936035
2,fake,DNN,0.1815682598006407,0.0,cosine,,0.07905435562133789,0.0631890296936035
3,fake,DNN,0.811183974007733,0.3567078426765895,spacy,,0.07905435562133789,0.0631890296936035
0,fake,DNN,0.5818181818181818,0.0,l0,,0.1095583438873291,0.0591382980346679
1,fake,DNN,0.0879718775702939,0.0,pairwise,,0.1095583438873291,0.0591382980346679
2,fake,DNN,0.14625448482542613,0.0,cosine,,0.1095583438873291,0.0591382980346679
3,fake,DNN,0.8376857754670117,0.2656464708946675,spacy,,0.1095583438873291,0.0591382980346679
0,fake,DNN,0.5625,0.0,l0,,0.09729933738708496,0.0650932788848877
1,fake,DNN,0.08368995559628906,0.0,pairwise,,0.09729933738708496,0.0650932788848877
2,fake,DNN,0.147087101353638,0.0,cosine,,0.09729933738708496,0.0650932788848877
3,fake,DNN,0.7762347187912361,0.5165780768232093,spacy,,0.09729933738708496,0.0650932788848877
0,fake,DNN,0.525,0.0,l0,,0.09119725227355957,0.062321662902832
1,fake,DNN,0.07320949688115617,0.0,pairwise,,0.09119725227355957,0.062321662902832
2,fake,DNN,0.1315587028960544,0.0,cosine,,0.09119725227355957,0.062321662902832
3,fake,DNN,0.7062052608866273,0.45368707629245275,spacy,,0.09119725227355957,0.062321662902832
0,fake,DNN,0.4583333333333333,0.0,l0,,0.08646416664123535,0.0716731548309326
1,fake,DNN,0.028207506849733673,0.0,pairwise,,0.08646416664123535,0.0716731548309326
2,fake,DNN,0.09901475429766741,0.0,cosine,,0.08646416664123535,0.0716731548309326
3,fake,DNN,0.7725222786390681,0.5673801809800827,spacy,,0.08646416664123535,0.0716731548309326
0,fake,DNN,0.5113636363636364,0.12878787878787878,l0,,0.10337233543395996,0.0539875030517578
1,fake,DNN,0.0608147364163138,0.08340941143953931,pairwise,,0.10337233543395996,0.0539875030517578
2,fake,DNN,0.11050642030256358,0.12309149097933275,cosine,,0.10337233543395996,0.0539875030517578
3,fake,DNN,0.8774963938168502,0.5705841889666075,spacy,,0.10337233543395996,0.0539875030517578
0,fake,DNN,0.47619047619047616,0.0,l0,,0.07889723777770996,0.0564391613006591
1,fake,DNN,0.035706605252891044,0.0,pairwise,,0.07889723777770996,0.0564391613006591
2,fake,DNN,0.12262786789699316,0.0,cosine,,0.07889723777770996,0.0564391613006591
3,fake,DNN,0.5435655958802,0.43551141335435734,spacy,,0.07889723777770996,0.0564391613006591
0,fake,DNN,0.3214285714285714,0.0,l0,,0.11551809310913086,0.0534312725067138
1,fake,DNN,0.0,0.0,pairwise,,0.11551809310913086,0.0534312725067138
2,fake,DNN,0.04173919355648411,0.0,cosine,,0.11551809310913086,0.0534312725067138
3,fake,DNN,0.42174483009235225,0.4068501886848022,spacy,,0.11551809310913086,0.0534312725067138
0,fake,DNN,0.6222222222222222,0.15555555555555556,l0,,0.06741976737976074,0.071934700012207
1,fake,DNN,0.1469652908275191,0.08176804146599938,pairwise,,0.06741976737976074,0.071934700012207
2,fake,DNN,0.24759378423606918,0.14907119849998599,cosine,,0.06741976737976074,0.071934700012207
3,fake,DNN,0.7520984710158876,0.5538443664158655,spacy,,0.06741976737976074,0.071934700012207
0,fake,DNN,0.7291666666666667,0.0,l0,,0.04308485984802246,0.0768282413482666
1,fake,DNN,0.3039830649662256,0.0,pairwise,,0.04308485984802246,0.0768282413482666
2,fake,DNN,0.472455591261534,0.0,cosine,,0.04308485984802246,0.0768282413482666
3,fake,DNN,0.9181485451720838,0.28831676656061683,spacy,,0.04308485984802246,0.0768282413482666
0,fake,DNN,0.5416666666666666,0.0,l0,,0.09758424758911133,0.0437333583831787
1,fake,DNN,0.08368995559628906,0.0,pairwise,,0.09758424758911133,0.0437333583831787
2,fake,DNN,0.1386750490563073,0.0,cosine,,0.09758424758911133,0.0437333583831787
3,fake,DNN,0.6616395140553296,0.5820008835440564,spacy,,0.09758424758911133,0.0437333583831787
0,fake,DNN,0.8080808080808081,0.14545454545454545,l0,,0.0562596321105957,0.0508008003234863
1,fake,DNN,0.31335921760487495,0.07734781234369076,pairwise,,0.0562596321105957,0.0508008003234863
2,fake,DNN,0.492365963917331,0.13483997249264842,cosine,,0.0562596321105957,0.0508008003234863
3,fake,DNN,0.9218018100214467,0.6800677124685658,spacy,,0.0562596321105957,0.0508008003234863
0,fake,DNN,0.8615384615384616,0.0,l0,,0.050446271896362305,0.0642368793487548
1,fake,DNN,0.5506100975655026,0.0,pairwise,,0.050446271896362305,0.0642368793487548
2,fake,DNN,0.7216878364870323,0.0,cosine,,0.050446271896362305,0.0642368793487548
3,fake,DNN,0.9718949667540389,0.6310002366004129,spacy,,0.050446271896362305,0.0642368793487548
0,fake,DNN,0.8712121212121212,0.0,l0,,0.05884099006652832,0.0506651401519775
1,fake,DNN,0.340450720626234,0.0,pairwise,,0.05884099006652832,0.0506651401519775
2,fake,DNN,0.5661385170722979,0.0,cosine,,0.05884099006652832,0.0506651401519775
3,fake,DNN,0.9795461394267949,0.4312812070220716,spacy,,0.05884099006652832,0.0506651401519775
0,fake,DNN,0.65,0.0,l0,,0.07086706161499023,0.0809626579284668
1,fake,DNN,0.1586936469535384,0.0,pairwise,,0.07086706161499023,0.0809626579284668
2,fake,DNN,0.2626128657194451,0.0,cosine,,0.07086706161499023,0.0809626579284668
3,fake,DNN,0.8041498997484352,0.6005518821503407,spacy,,0.07086706161499023,0.0809626579284668
0,fake,DNN,0.29545454545454547,0.0,l0,,0.2043604850769043,0.0301413536071777
1,fake,DNN,0.0,0.0,pairwise,,0.2043604850769043,0.0301413536071777
2,fake,DNN,0.021481793839053773,0.0,cosine,,0.2043604850769043,0.0301413536071777
3,fake,DNN,0.49961035324234887,0.7141395174805971,spacy,,0.2043604850769043,0.0301413536071777
0,fake,DNN,0.4444444444444444,0.1388888888888889,l0,,0.1469860076904297,0.0437550544738769
1,fake,DNN,0.035589233177916395,0.08176804146599938,pairwise,,0.1469860076904297,0.0437550544738769
2,fake,DNN,0.06600983619844496,0.13608276348795434,cosine,,0.1469860076904297,0.0437550544738769
3,fake,DNN,0.6654193737060562,0.6946347340770976,spacy,,0.1469860076904297,0.0437550544738769
0,fake,DNN,0.625,0.0,l0,,0.09514975547790527,0.0374331474304199
1,fake,DNN,0.07249550178569676,0.0,pairwise,,0.09514975547790527,0.0374331474304199
2,fake,DNN,0.15713484026367722,0.0,cosine,,0.09514975547790527,0.0374331474304199
3,fake,DNN,0.7601882969444286,0.4721894133367937,spacy,,0.09514975547790527,0.0374331474304199
0,fake,DNN,0.6666666666666667,0.0,l0,,0.0537266731262207,0.0519537925720214
1,fake,DNN,0.17069527385235653,0.0,pairwise,,0.0537266731262207,0.0519537925720214
2,fake,DNN,0.36313651960128146,0.0,cosine,,0.0537266731262207,0.0519537925720214
3,fake,DNN,0.9188890298719108,0.10589321029252233,spacy,,0.0537266731262207,0.0519537925720214
0,fake,DNN,0.525,0.6000000000000001,l0,,0.14898943901062012,0.0374751091003418
1,fake,DNN,0.051644080622320995,0.5023287782256718,pairwise,,0.14898943901062012,0.0374751091003418
