,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,polarity,DNN,0.75,0.0,l0,,37.85567760467529,1.5609939098
1,polarity,DNN,0.22028815056182965,0.0,pairwise,,37.85567760467529,1.5609939098
2,polarity,DNN,0.35355339059327373,0.0,cosine,,37.85567760467529,1.5609939098
3,polarity,DNN,0.7001071035602919,0.20577955322617553,spacy,,37.85567760467529,1.5609939098
0,polarity,DNN,0.7388888888888889,0.31666666666666665,l0,,105.04957461357117,1.5081195831
1,polarity,DNN,0.6392306240536284,0.18976728433844914,pairwise,,105.04957461357117,1.5081195831
2,polarity,DNN,0.7378647873726218,0.31622776601683794,cosine,,105.04957461357117,1.5081195831
3,polarity,DNN,0.9315778490777366,0.712513570211697,spacy,,105.04957461357117,1.5081195831
0,polarity,DNN,0.7738095238095238,0.6190476190476191,l0,,87.1676516532898,1.4657804966
1,polarity,DNN,0.47958182018755263,0.23577033983032974,pairwise,,87.1676516532898,1.4657804966
2,polarity,DNN,0.629940788348712,0.3779644730092272,cosine,,87.1676516532898,1.4657804966
3,polarity,DNN,0.9272398094684055,0.8518764973781914,spacy,,87.1676516532898,1.4657804966
0,polarity,DNN,0.4722222222222222,0.8035714285714286,l0,,67.08759951591492,1.4949700832000001
1,polarity,DNN,0.31125746752705374,0.6735205045780811,pairwise,,67.08759951591492,1.4949700832000001
2,polarity,DNN,0.4714045207910316,0.8017837257372731,cosine,,67.08759951591492,1.4949700832000001
3,polarity,DNN,0.8733681562750669,0.9041438347283512,spacy,,67.08759951591492,1.4949700832000001
0,polarity,DNN,0.9166666666666667,0.6666666666666666,l0,,50.15066719055176,1.4893054962
1,polarity,DNN,0.8466473536503036,0.5803329846765685,pairwise,,50.15066719055176,1.4893054962
2,polarity,DNN,0.9128709291752769,0.6666666666666667,cosine,,50.15066719055176,1.4893054962
3,polarity,DNN,0.9778004647403218,0.8936275218638128,spacy,,50.15066719055176,1.4893054962
0,polarity,DNN,0.6923076923076923,0.23076923076923078,l0,,104.30126881599426,1.4815287590000001
1,polarity,DNN,0.5666441608108923,0.14438355527738672,pairwise,,104.30126881599426,1.4815287590000001
2,polarity,DNN,0.6923076923076924,0.2307692307692308,cosine,,104.30126881599426,1.4815287590000001
3,polarity,DNN,0.9286780669430296,0.7524248595169,spacy,,104.30126881599426,1.4815287590000001
0,polarity,DNN,0.8,0.875,l0,,43.11426639556885,1.4770588875000001
1,polarity,DNN,0.6194000100245768,0.732104920251224,pairwise,,43.11426639556885,1.4770588875000001
2,polarity,DNN,0.7302967433402214,0.8164965809277261,cosine,,43.11426639556885,1.4770588875000001
3,polarity,DNN,0.9165378586426616,0.8870929019951194,spacy,,43.11426639556885,1.4770588875000001
0,polarity,DNN,0.625,0.2361111111111111,l0,,83.77065348625183,1.4733791351
1,polarity,DNN,0.4576241622696326,0.14438355527738672,pairwise,,83.77065348625183,1.4733791351
2,polarity,DNN,0.6249999999999999,0.2357022603955158,cosine,,83.77065348625183,1.4733791351
3,polarity,DNN,0.9010523367533766,0.7015796953441386,spacy,,83.77065348625183,1.4733791351
0,polarity,DNN,0.675,0.5,l0,,35.92054629325867,1.4812512398
1,polarity,DNN,0.5101490193104813,0.3360969272762575,pairwise,,35.92054629325867,1.4812512398
2,polarity,DNN,0.6708203932499369,0.5,cosine,,35.92054629325867,1.4812512398
3,polarity,DNN,0.8783055497901798,0.709887825580881,spacy,,35.92054629325867,1.4812512398
0,polarity,DNN,0.8333333333333334,0.0,l0,,69.22258400917053,1.4784135818
1,polarity,DNN,0.7168117414430624,0.0,pairwise,,69.22258400917053,1.4784135818
2,polarity,DNN,0.8333333333333335,0.0,cosine,,69.22258400917053,1.4784135818
3,polarity,DNN,0.9815855103910034,0.6349482668255318,spacy,,69.22258400917053,1.4784135818
0,polarity,DNN,0.2,0.0,l0,,54.415353298187256,1.4780869484
