,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,polarity,DNN,0.75,0.0,l0,,0.2676365375518799,1.5609939098
1,polarity,DNN,0.22028815056182965,0.0,pairwise,,0.2676365375518799,1.5609939098
2,polarity,DNN,0.35355339059327373,0.0,cosine,,0.2676365375518799,1.5609939098
3,polarity,DNN,0.7593745695892831,0.20577955322617553,spacy,,0.2676365375518799,1.5609939098
0,polarity,DNN,0.6805555555555556,0.31666666666666665,l0,,0.47601819038391113,1.5081195831
1,polarity,DNN,0.5149138161160747,0.18976728433844914,pairwise,,0.47601819038391113,1.5081195831
2,polarity,DNN,0.6735753140545634,0.31622776601683794,cosine,,0.47601819038391113,1.5081195831
3,polarity,DNN,0.9270560094300754,0.712513570211697,spacy,,0.47601819038391113,1.5081195831
0,polarity,DNN,0.5333333333333333,0.6190476190476191,l0,,0.5243072509765625,1.4657804966
1,polarity,DNN,0.2823612582719693,0.23577033983032974,pairwise,,0.5243072509765625,1.4657804966
2,polarity,DNN,0.4216370213557839,0.3779644730092272,cosine,,0.5243072509765625,1.4657804966
3,polarity,DNN,0.8593800048362741,0.8518764973781914,spacy,,0.5243072509765625,1.4657804966
0,polarity,DNN,0.45,0.75,l0,,0.35454463958740234,1.4836490154
1,polarity,DNN,0.17077611319011649,0.5031026124151314,pairwise,,0.35454463958740234,1.4836490154
2,polarity,DNN,0.4472135954999579,0.75,cosine,,0.35454463958740234,1.4836490154
3,polarity,DNN,0.6658773422283918,0.8676254046885274,spacy,,0.35454463958740234,1.4836490154
0,polarity,DNN,0.2361111111111111,0.8035714285714286,l0,,1.6721031665802002,1.4949700832000001
1,polarity,DNN,0.0633548122219654,0.6735205045780811,pairwise,,1.6721031665802002,1.4949700832000001
2,polarity,DNN,0.1178511301977579,0.8017837257372731,cosine,,1.6721031665802002,1.4949700832000001
3,polarity,DNN,0.6859959477281444,0.9041438347283512,spacy,,1.6721031665802002,1.4949700832000001
0,polarity,DNN,0.6666666666666666,0.6666666666666666,l0,,0.16684317588806152,1.4893054962
1,polarity,DNN,0.5031026124151313,0.5803329846765685,pairwise,,0.16684317588806152,1.4893054962
2,polarity,DNN,0.6666666666666667,0.6666666666666667,cosine,,0.16684317588806152,1.4893054962
3,polarity,DNN,0.9279956155027329,0.8936275218638128,spacy,,0.16684317588806152,1.4893054962
0,polarity,DNN,0.7388888888888889,0.4722222222222222,l0,,0.7147870063781738,1.4866170883
1,polarity,DNN,0.6029748160380571,0.3360969272762574,pairwise,,0.7147870063781738,1.4866170883
2,polarity,DNN,0.7378647873726218,0.4714045207910316,cosine,,0.7147870063781738,1.4866170883
3,polarity,DNN,0.949846534667593,0.7895875171184857,spacy,,0.7147870063781738,1.4866170883
0,polarity,DNN,0.8159340659340659,0.23076923076923078,l0,,0.14897632598876953,1.4815287590000001
1,polarity,DNN,0.6708868001754188,0.14438355527738672,pairwise,,0.14897632598876953,1.4815287590000001
2,polarity,DNN,0.8153742483272114,0.2307692307692308,cosine,,0.14897632598876953,1.4815287590000001
3,polarity,DNN,0.9666410300855686,0.7524248595169,spacy,,0.14897632598876953,1.4815287590000001
0,polarity,DNN,0.25,0.875,l0,,0.3471555709838867,1.4770588875000001
1,polarity,DNN,0.23773923857522392,0.732104920251224,pairwise,,0.3471555709838867,1.4770588875000001
2,polarity,DNN,0.33333333333333337,0.8164965809277261,cosine,,0.3471555709838867,1.4770588875000001
3,polarity,DNN,0.6332510872282179,0.8870929019951194,spacy,,0.3471555709838867,1.4770588875000001
0,polarity,DNN,0.5,0.2361111111111111,l0,,1.946169376373291,1.4733791351
1,polarity,DNN,0.3360969272762574,0.14438355527738672,pairwise,,1.946169376373291,1.4733791351
2,polarity,DNN,0.4999999999999999,0.2357022603955158,cosine,,1.946169376373291,1.4733791351
3,polarity,DNN,0.8696466093029436,0.7015796953441386,spacy,,1.946169376373291,1.4733791351
0,polarity,DNN,0.675,0.5,l0,,0.1500229835510254,1.4812512398
1,polarity,DNN,0.5101490193104813,0.3360969272762575,pairwise,,0.1500229835510254,1.4812512398
2,polarity,DNN,0.6708203932499369,0.5,cosine,,0.1500229835510254,1.4812512398
3,polarity,DNN,0.8905887321370815,0.709887825580881,spacy,,0.1500229835510254,1.4812512398
0,polarity,DNN,0.875,0.0,l0,,0.10398697853088379,1.4784135818
1,polarity,DNN,0.7765145304745155,0.0,pairwise,,0.10398697853088379,1.4784135818
2,polarity,DNN,0.8660254037844387,0.0,cosine,,0.10398697853088379,1.4784135818
3,polarity,DNN,0.9366186436408519,0.6349482668255318,spacy,,0.10398697853088379,1.4784135818
0,polarity,DNN,0.7070707070707071,0.7388888888888889,l0,,1.3115355968475342,1.4669213295
1,polarity,DNN,0.4773595640217164,0.6029748160380571,pairwise,,1.3115355968475342,1.4669213295
2,polarity,DNN,0.6030226891555273,0.7378647873726218,cosine,,1.3115355968475342,1.4669213295
3,polarity,DNN,0.934218890357091,0.914773247194823,spacy,,1.3115355968475342,1.4669213295
0,polarity,DNN,0.6333333333333333,0.20202020202020202,l0,,0.513373851776123,1.4923021793
1,polarity,DNN,0.46598909712311054,0.11914719328677728,pairwise,,0.513373851776123,1.4923021793
2,polarity,DNN,0.6324555320336759,0.20100756305184242,cosine,,0.513373851776123,1.4923021793
3,polarity,DNN,0.8780280412928536,0.5114157757337072,spacy,,0.513373851776123,1.4923021793
0,polarity,DNN,0.8,0.3666666666666667,l0,,0.41191935539245605,1.4759280682
1,polarity,DNN,0.7799154245579976,0.3223768055998519,pairwise,,0.41191935539245605,1.4759280682
2,polarity,DNN,0.8749999999999998,0.43301270189221935,cosine,,0.41191935539245605,1.4759280682
3,polarity,DNN,0.959772536524938,0.8011068752027302,spacy,,0.41191935539245605,1.4759280682
0,polarity,DNN,0.5142857142857142,0.675,l0,,0.4016425609588623,1.4835677147
1,polarity,DNN,0.2605556710562624,0.4112070550676187,pairwise,,0.4016425609588623,1.4835677147
2,polarity,DNN,0.5070925528371099,0.6708203932499369,cosine,,0.4016425609588623,1.4835677147
3,polarity,DNN,0.8002890148433487,0.8160144153815597,spacy,,0.4016425609588623,1.4835677147
0,polarity,DNN,0.7738095238095238,0.5,l0,,0.14303326606750488,1.4791297913
1,polarity,DNN,0.6327904583679949,0.3360969272762574,pairwise,,0.14303326606750488,1.4791297913
2,polarity,DNN,0.7715167498104595,0.5000000000000001,cosine,,0.14303326606750488,1.4791297913
3,polarity,DNN,0.9541960338644127,0.7174183543259817,spacy,,0.14303326606750488,1.4791297913
0,polarity,DNN,0.375,0.0,l0,,0.19884228706359863,1.4346675872999999
1,polarity,DNN,0.22028815056182965,0.0,pairwise,,0.19884228706359863,1.4346675872999999
2,polarity,DNN,0.35355339059327373,0.0,cosine,,0.19884228706359863,1.4346675872999999
3,polarity,DNN,0.8338673876047974,0.32598022450713976,spacy,,0.19884228706359863,1.4346675872999999
0,polarity,DNN,0.9,0.8,l0,,0.06825399398803711,1.5001409054
1,polarity,DNN,1.0,0.6029748160380572,pairwise,,0.06825399398803711,1.5001409054
2,polarity,DNN,0.8944271909999159,0.7999999999999998,cosine,,0.06825399398803711,1.5001409054
3,polarity,DNN,0.9470555798277154,0.9239906338854231,spacy,,0.06825399398803711,1.5001409054
0,polarity,DNN,0.75,0.0,l0,,0.04876875877380371,1.4911181927000001
1,polarity,DNN,0.5797386715376657,0.0,pairwise,,0.04876875877380371,1.4911181927000001
2,polarity,DNN,0.7071067811865475,0.0,cosine,,0.04876875877380371,1.4911181927000001
3,polarity,DNN,0.0,0.0,spacy,,0.04876875877380371,1.4911181927000001
0,polarity,DNN,0.8571428571428571,0.6696428571428572,l0,,0.10188794136047363,1.4892158508
1,polarity,DNN,0.7523197619890014,0.5056055588739692,pairwise,,0.10188794136047363,1.4892158508
2,polarity,DNN,0.857142857142857,0.6681531047810609,cosine,,0.10188794136047363,1.4892158508
3,polarity,DNN,0.9633166271821704,0.837205156795741,spacy,,0.10188794136047363,1.4892158508
0,polarity,DNN,0.7333333333333334,0.17142857142857143,l0,,0.5768156051635742,1.5047619343
1,polarity,DNN,0.38087260847594373,0.09349477497536716,pairwise,,0.5768156051635742,1.5047619343
2,polarity,DNN,0.5477225575051661,0.16903085094570328,cosine,,0.5768156051635742,1.5047619343
