,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,polarity,DNN,0.8333333333333333,0.0,l0,,0.0372617244720459,1.5609939098
1,polarity,DNN,0.12725898700975247,0.0,pairwise,,0.0372617244720459,1.5609939098
2,polarity,DNN,0.21320071635561041,0.0,cosine,,0.0372617244720459,1.5609939098
3,polarity,DNN,0.7746053421871454,0.20577955322617553,spacy,,0.0372617244720459,1.5609939098
0,polarity,DNN,0.7619047619047619,0.31666666666666665,l0,,0.09198975563049316,1.5081195831
1,polarity,DNN,0.19785318493980442,0.18976728433844914,pairwise,,0.09198975563049316,1.5081195831
2,polarity,DNN,0.3086066999241838,0.31622776601683794,cosine,,0.09198975563049316,1.5081195831
3,polarity,DNN,0.9324820626549838,0.712513570211697,spacy,,0.09198975563049316,1.5081195831
0,polarity,DNN,0.7333333333333334,0.6190476190476191,l0,,0.14555001258850098,1.4657804966
1,polarity,DNN,0.08139373375431057,0.23577033983032974,pairwise,,0.14555001258850098,1.4657804966
2,polarity,DNN,0.1307440900921227,0.3779644730092272,cosine,,0.14555001258850098,1.4657804966
3,polarity,DNN,0.9191046669580608,0.8518764973781914,spacy,,0.14555001258850098,1.4657804966
0,polarity,DNN,0.0,0.75,l0,,0.04686903953552246,1.4836490154
1,polarity,DNN,0.0,0.5031026124151314,pairwise,,0.04686903953552246,1.4836490154
2,polarity,DNN,0.0,0.75,cosine,,0.04686903953552246,1.4836490154
3,polarity,DNN,0.0,0.8676254046885274,spacy,,0.04686903953552246,1.4836490154
0,polarity,DNN,0.3125,0.8035714285714286,l0,,0.14007186889648438,1.4949700832000001
1,polarity,DNN,0.016762902823197208,0.6735205045780811,pairwise,,0.14007186889648438,1.4949700832000001
2,polarity,DNN,0.032009219983223994,0.8017837257372731,cosine,,0.14007186889648438,1.4949700832000001
3,polarity,DNN,0.617309048025395,0.9041438347283512,spacy,,0.14007186889648438,1.4949700832000001
0,polarity,DNN,0.625,0.6666666666666666,l0,,0.038906097412109375,1.4893054962
1,polarity,DNN,0.22028815056182963,0.5803329846765685,pairwise,,0.038906097412109375,1.4893054962
2,polarity,DNN,0.3535533905932738,0.6666666666666667,cosine,,0.038906097412109375,1.4893054962
3,polarity,DNN,0.9015299261749165,0.8936275218638128,spacy,,0.038906097412109375,1.4893054962
0,polarity,DNN,0.8263888888888888,0.4722222222222222,l0,,0.0684664249420166,1.4866170883
1,polarity,DNN,0.25558524637039043,0.3360969272762574,pairwise,,0.0684664249420166,1.4866170883
2,polarity,DNN,0.41247895569215265,0.4714045207910316,cosine,,0.0684664249420166,1.4866170883
3,polarity,DNN,0.9644721560804496,0.7895875171184857,spacy,,0.0684664249420166,1.4866170883
0,polarity,DNN,0.8391608391608392,0.23076923076923078,l0,,0.04475855827331543,1.4815287590000001
1,polarity,DNN,0.45017550232698994,0.14438355527738672,pairwise,,0.04475855827331543,1.4815287590000001
2,polarity,DNN,0.6362847629757777,0.2307692307692308,cosine,,0.04475855827331543,1.4815287590000001
3,polarity,DNN,0.971201461977954,0.7524248595169,spacy,,0.04475855827331543,1.4815287590000001
0,polarity,DNN,0.41666666666666663,0.875,l0,,0.04831886291503906,1.4770588875000001
1,polarity,DNN,0.053101649070147805,0.732104920251224,pairwise,,0.04831886291503906,1.4770588875000001
2,polarity,DNN,0.09901475429766744,0.8164965809277261,cosine,,0.04831886291503906,1.4770588875000001
3,polarity,DNN,0.7381118858546516,0.8870929019951194,spacy,,0.04831886291503906,1.4770588875000001
0,polarity,DNN,0.4583333333333333,0.2361111111111111,l0,,0.17190313339233398,1.4733791351
1,polarity,DNN,0.03175053835235771,0.14438355527738672,pairwise,,0.17190313339233398,1.4733791351
2,polarity,DNN,0.05852057359806528,0.2357022603955158,cosine,,0.17190313339233398,1.4733791351
3,polarity,DNN,0.7283156348764225,0.7015796953441386,spacy,,0.17190313339233398,1.4733791351
0,polarity,DNN,0.625,0.0,l0,,0.0398561954498291,1.4784135818
1,polarity,DNN,0.13627634143908643,0.0,pairwise,,0.0398561954498291,1.4784135818
2,polarity,DNN,0.23570226039551587,0.0,cosine,,0.0398561954498291,1.4784135818
3,polarity,DNN,0.7890756070340674,0.6349482668255318,spacy,,0.0398561954498291,1.4784135818
0,polarity,DNN,0.6222222222222222,0.7388888888888889,l0,,0.14827895164489746,1.4669213295
1,polarity,DNN,0.08167496328858832,0.6029748160380571,pairwise,,0.14827895164489746,1.4669213295
2,polarity,DNN,0.1307440900921227,0.7378647873726218,cosine,,0.14827895164489746,1.4669213295
3,polarity,DNN,0.9164639644119227,0.914773247194823,spacy,,0.14827895164489746,1.4669213295
0,polarity,DNN,0.5416666666666666,0.20202020202020202,l0,,0.10614562034606934,1.4923021793
1,polarity,DNN,0.06842677573158734,0.11914719328677728,pairwise,,0.10614562034606934,1.4923021793
2,polarity,DNN,0.12216944435630522,0.20100756305184242,cosine,,0.10614562034606934,1.4923021793
3,polarity,DNN,0.6802135700819262,0.5114157757337072,spacy,,0.10614562034606934,1.4923021793
0,polarity,DNN,0.41666666666666663,0.2403846153846154,l0,,0.24947738647460938,1.4868831635
1,polarity,DNN,0.019959136262326392,0.09642199947477413,pairwise,,0.24947738647460938,1.4868831635
2,polarity,DNN,0.03594425773447948,0.24019223070763074,cosine,,0.24947738647460938,1.4868831635
3,polarity,DNN,0.7767165206837701,0.671357223291836,spacy,,0.24947738647460938,1.4868831635
0,polarity,DNN,0.675,0.3666666666666667,l0,,0.03934741020202637,1.4759280682
1,polarity,DNN,0.39006559536774454,0.3223768055998519,pairwise,,0.03934741020202637,1.4759280682
2,polarity,DNN,0.5477225575051661,0.43301270189221935,cosine,,0.03934741020202637,1.4759280682
3,polarity,DNN,0.9451054642245439,0.8011068752027302,spacy,,0.03934741020202637,1.4759280682
0,polarity,DNN,0.625,0.0,l0,,0.05970907211303711,1.4881634712
1,polarity,DNN,0.1387383271323802,0.0,pairwise,,0.05970907211303711,1.4881634712
2,polarity,DNN,0.23145502494313785,0.0,cosine,,0.05970907211303711,1.4881634712
3,polarity,DNN,0.8412232179607236,0.3697321238468302,spacy,,0.05970907211303711,1.4881634712
0,polarity,DNN,0.7333333333333334,0.5,l0,,0.039392709732055664,1.4791297913
