,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,polarity,DNN,0.7142857142857143,0.0,l0,,42.39329242706299,0.0414099693298339
1,polarity,DNN,0.5586177528223194,0.0,pairwise,,42.39329242706299,0.0414099693298339
2,polarity,DNN,0.7142857142857142,0.0,cosine,,42.39329242706299,0.0414099693298339
3,polarity,DNN,0.9293707429698129,0.5147606676818812,spacy,,42.39329242706299,0.0414099693298339
0,polarity,DNN,0.7058823529411765,0.15441176470588236,l0,,121.72146582603455,0.0296487808227539
1,polarity,DNN,0.5485297816691111,0.07870893949125285,pairwise,,121.72146582603455,0.0296487808227539
2,polarity,DNN,0.7058823529411765,0.12126781251816648,cosine,,121.72146582603455,0.0296487808227539
3,polarity,DNN,0.9640686086661514,0.571693217707858,spacy,,121.72146582603455,0.0296487808227539
0,polarity,DNN,0.5227272727272727,0.0,l0,,87.77230453491211,0.0277209281921386
1,polarity,DNN,0.3779132184330248,0.0,pairwise,,87.77230453491211,0.0277209281921386
2,polarity,DNN,0.5222329678670935,0.0,cosine,,87.77230453491211,0.0277209281921386
3,polarity,DNN,0.8778741173163396,0.4802104342709237,spacy,,87.77230453491211,0.0277209281921386
0,polarity,DNN,0.8590909090909091,0.15000000000000002,l0,,84.98791122436523,0.0371730327606201
1,polarity,DNN,0.7548969126692828,0.08768681980142445,pairwise,,84.98791122436523,0.0371730327606201
2,polarity,DNN,0.8581163303210331,0.14142135623730948,cosine,,84.98791122436523,0.0371730327606201
3,polarity,DNN,0.9752382594722837,0.6791744586220374,spacy,,84.98791122436523,0.0371730327606201
0,polarity,DNN,0.5727272727272728,0.0,l0,,85.11761689186096,0.0347981452941894
1,polarity,DNN,0.40387178198299306,0.0,pairwise,,85.11761689186096,0.0347981452941894
2,polarity,DNN,0.5720775535473553,0.0,cosine,,85.11761689186096,0.0347981452941894
3,polarity,DNN,0.9085126445884556,0.445169979262341,spacy,,85.11761689186096,0.0347981452941894
0,polarity,DNN,0.8888888888888888,0.0,l0,,93.39609932899475,0.0364251136779785
1,polarity,DNN,0.7799154245579976,0.0,pairwise,,93.39609932899475,0.0364251136779785
2,polarity,DNN,0.8888888888888888,0.0,cosine,,93.39609932899475,0.0364251136779785
3,polarity,DNN,0.9764196686996612,0.5199236637892589,spacy,,93.39609932899475,0.0364251136779785
0,polarity,DNN,0.7738095238095238,0.0,l0,,45.89717483520508,0.0256056785583496
1,polarity,DNN,0.6327904583679949,0.0,pairwise,,45.89717483520508,0.0256056785583496
2,polarity,DNN,0.7715167498104595,0.0,cosine,,45.89717483520508,0.0256056785583496
3,polarity,DNN,0.9686954586632869,0.6265876891240811,spacy,,45.89717483520508,0.0256056785583496
0,polarity,DNN,0.7886029411764706,0.28125,l0,,163.75262665748596,0.059952974319458
1,polarity,DNN,0.6989229322168969,0.1353224211007335,pairwise,,163.75262665748596,0.059952974319458
2,polarity,DNN,0.8207826816681232,0.2051956704170308,cosine,,163.75262665748596,0.059952974319458
3,polarity,DNN,0.9804504672121487,0.6913616641188101,spacy,,163.75262665748596,0.059952974319458
0,polarity,DNN,0.6923076923076923,0.0,l0,,132.97811198234558,0.0296850204467773
1,polarity,DNN,0.5666441608108923,0.0,pairwise,,132.97811198234558,0.0296850204467773
2,polarity,DNN,0.6923076923076924,0.0,cosine,,132.97811198234558,0.0296850204467773
3,polarity,DNN,0.9614943726828928,0.5437483968416923,spacy,,132.97811198234558,0.0296850204467773
0,polarity,DNN,0.75,0.0,l0,,45.774545192718506,0.0243599414825439
1,polarity,DNN,0.6029748160380572,0.0,pairwise,,45.774545192718506,0.0243599414825439
2,polarity,DNN,0.75,0.0,cosine,,45.774545192718506,0.0243599414825439
3,polarity,DNN,0.944505557108214,0.5876249241543529,spacy,,45.774545192718506,0.0243599414825439
0,polarity,DNN,1.0,0.0,l0,,23.051680326461792,0.0837371349334716
1,polarity,DNN,1.0,0.0,pairwise,,23.051680326461792,0.0837371349334716
2,polarity,DNN,1.0,0.0,cosine,,23.051680326461792,0.0837371349334716
3,polarity,DNN,1.0,-0.06143271354112808,spacy,,23.051680326461792,0.0837371349334716
0,polarity,DNN,0.7279411764705883,0.13125,l0,,105.84615969657898,0.0316390991210937
1,polarity,DNN,0.561197201439235,0.05699752852140605,pairwise,,105.84615969657898,0.0316390991210937
2,polarity,DNN,0.7233393492970542,0.1025978352085154,cosine,,105.84615969657898,0.0316390991210937
3,polarity,DNN,0.9577346207950882,0.7298619456628554,spacy,,105.84615969657898,0.0316390991210937
0,polarity,DNN,0.7692307692307693,0.0,l0,,99.6835584640503,0.0334155559539794
1,polarity,DNN,0.6029748160380574,0.0,pairwise,,99.6835584640503,0.0334155559539794
2,polarity,DNN,0.7692307692307694,0.0,cosine,,99.6835584640503,0.0334155559539794
3,polarity,DNN,0.9627906427053102,0.5815158018520633,spacy,,99.6835584640503,0.0334155559539794
0,polarity,DNN,0.8571428571428571,0.0,l0,,50.169296979904175,0.0352909564971923
1,polarity,DNN,0.7523197619890014,0.0,pairwise,,50.169296979904175,0.0352909564971923
2,polarity,DNN,0.857142857142857,0.0,cosine,,50.169296979904175,0.0352909564971923
3,polarity,DNN,0.9637054926810091,0.4535235453267121,spacy,,50.169296979904175,0.0352909564971923
0,polarity,DNN,0.9411764705882353,0.12941176470588237,l0,,107.27590894699097,0.0313720703125
1,polarity,DNN,0.8901087250340664,0.05869868646731191,pairwise,,107.27590894699097,0.0313720703125
2,polarity,DNN,0.9411764705882353,0.10846522890932808,cosine,,107.27590894699097,0.0313720703125
3,polarity,DNN,0.9898360431870987,0.6974406985059494,spacy,,107.27590894699097,0.0313720703125
0,polarity,DNN,0.8823529411764706,0.0,l0,,115.73034167289734,0.0269198417663574
1,polarity,DNN,0.7799154245579974,0.0,pairwise,,115.73034167289734,0.0269198417663574
2,polarity,DNN,0.8823529411764706,0.0,cosine,,115.73034167289734,0.0269198417663574
3,polarity,DNN,0.983435350136573,0.548624741225349,spacy,,115.73034167289734,0.0269198417663574
0,polarity,DNN,0.7142857142857143,0.0,l0,,58.78263282775879,0.0319912433624267
1,polarity,DNN,0.5586177528223194,0.0,pairwise,,58.78263282775879,0.0319912433624267
2,polarity,DNN,0.7142857142857142,0.0,cosine,,58.78263282775879,0.0319912433624267
3,polarity,DNN,0.9383366983364018,0.622851568276392,spacy,,58.78263282775879,0.0319912433624267
0,polarity,DNN,0.7417582417582418,0.0,l0,,93.87993597984314,0.0261304378509521
1,polarity,DNN,0.5922486215716684,0.0,pairwise,,93.87993597984314,0.0261304378509521
2,polarity,DNN,0.7412493166611013,0.0,cosine,,93.87993597984314,0.0261304378509521
3,polarity,DNN,0.958405968761319,0.5110373740438947,spacy,,93.87993597984314,0.0261304378509521
0,polarity,DNN,0.7738095238095238,0.0,l0,,45.530606746673584,0.0239005088806152
1,polarity,DNN,0.6029748160380572,0.0,pairwise,,45.530606746673584,0.0239005088806152
2,polarity,DNN,0.7559289460184544,0.0,cosine,,45.530606746673584,0.0239005088806152
3,polarity,DNN,0.9452539108813242,0.6557220524260629,spacy,,45.530606746673584,0.0239005088806152
0,polarity,DNN,0.875,0.0,l0,,59.30165886878967,0.0216076374053955
1,polarity,DNN,0.8831282039194522,0.0,pairwise,,59.30165886878967,0.0216076374053955
2,polarity,DNN,0.8749999999999998,0.0,cosine,,59.30165886878967,0.0216076374053955
3,polarity,DNN,0.9751435099280694,0.5883135577798733,spacy,,59.30165886878967,0.0216076374053955
0,polarity,DNN,0.5,0.0,l0,,24.17082643508911,0.057220458984375
1,polarity,DNN,0.4112070550676187,0.0,pairwise,,24.17082643508911,0.057220458984375
2,polarity,DNN,0.5,0.0,cosine,,24.17082643508911,0.057220458984375
3,polarity,DNN,0.7850808522890833,0.4958790592150003,spacy,,24.17082643508911,0.057220458984375
0,polarity,DNN,0.375,0.0,l0,,52.58222031593323,0.0310776233673095
1,polarity,DNN,0.2329796548048752,0.0,pairwise,,52.58222031593323,0.0310776233673095
2,polarity,DNN,0.37499999999999994,0.0,cosine,,52.58222031593323,0.0310776233673095
3,polarity,DNN,0.849710844729921,0.5700593168908298,spacy,,52.58222031593323,0.0310776233673095
0,polarity,DNN,0.75,0.0,l0,,80.5771689414978,0.0277361869812011
1,polarity,DNN,0.6029748160380571,0.0,pairwise,,80.5771689414978,0.0277361869812011
2,polarity,DNN,0.7499999999999999,0.0,cosine,,80.5771689414978,0.0277361869812011
3,polarity,DNN,0.9503582786062936,0.5871463567404549,spacy,,80.5771689414978,0.0277361869812011
0,polarity,DNN,0.8159340659340659,0.0,l0,,80.78313612937927,0.0280361175537109
1,polarity,DNN,0.6708868001754188,0.0,pairwise,,80.78313612937927,0.0280361175537109
2,polarity,DNN,0.8153742483272114,0.0,cosine,,80.78313612937927,0.0280361175537109
3,polarity,DNN,0.961744367085585,0.41538038351377105,spacy,,80.78313612937927,0.0280361175537109
0,polarity,DNN,0.8,0.15833333333333333,l0,,124.3375256061554,0.0424256324768066
