,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,spam,DNN,0.0,0.0,l0,,0.423753023147583,1.1462538242
1,spam,DNN,0.0,0.0,pairwise,,0.423753023147583,1.1462538242
2,spam,DNN,0.0,0.0,cosine,,0.423753023147583,1.1462538242
3,spam,DNN,0.3432140356539164,0.1844080734941592,spacy,,0.423753023147583,1.1462538242
0,spam,DNN,0.7142857142857143,0.5357142857142857,l0,,0.8517177104949951,1.2035422325
1,spam,DNN,0.5031026124151313,0.3360969272762574,pairwise,,0.8517177104949951,1.2035422325
2,spam,DNN,0.7142857142857142,0.5345224838248487,cosine,,0.8517177104949951,1.2035422325
3,spam,DNN,0.9255253076554368,0.8245102342079432,spacy,,0.8517177104949951,1.2035422325
0,spam,DNN,0.5034965034965035,0.0,l0,,1.385312557220459,1.1743354797
1,spam,DNN,0.29876035114318833,0.0,pairwise,,1.385312557220459,1.1743354797
2,spam,DNN,0.5017452060042545,0.0,cosine,,1.385312557220459,1.1743354797
3,spam,DNN,0.8481627135587653,0.553470372039745,spacy,,1.385312557220459,1.1743354797
0,spam,DNN,0.0,0.41666666666666663,l0,,2.188399314880371,1.1810519695
1,spam,DNN,0.0,0.15064018498706508,pairwise,,2.188399314880371,1.1810519695
2,spam,DNN,0.0,0.4082482904638631,cosine,,2.188399314880371,1.1810519695
3,spam,DNN,0.6583359405838117,0.8026459512121122,spacy,,2.188399314880371,1.1810519695
0,spam,DNN,0.41666666666666663,0.5,l0,,0.8829014301300049,1.1637392044000001
1,spam,DNN,0.31878402175377923,0.2605556710562624,pairwise,,0.8829014301300049,1.1637392044000001
2,spam,DNN,0.4082482904638631,0.5,cosine,,0.8829014301300049,1.1637392044000001
3,spam,DNN,0.7633675785842459,0.7435223031822685,spacy,,0.8829014301300049,1.1637392044000001
0,spam,DNN,0.1625,0.26666666666666666,l0,,1.1075196266174316,1.1731383801
1,spam,DNN,0.11671773546032795,0.20199309249791833,pairwise,,1.1075196266174316,1.1731383801
2,spam,DNN,0.15811388300841897,0.2581988897471611,cosine,,1.1075196266174316,1.1731383801
3,spam,DNN,0.6022795704942843,0.5317832675564454,spacy,,1.1075196266174316,1.1731383801
0,spam,DNN,0.9375,0.7142857142857143,l0,,0.09433341026306152,1.1994447708
1,spam,DNN,0.8831282039194522,0.5586177528223194,pairwise,,0.09433341026306152,1.1994447708
2,spam,DNN,0.9354143466934852,0.7142857142857142,cosine,,0.09433341026306152,1.1994447708
3,spam,DNN,0.9882689451451243,0.9088194234051732,spacy,,0.09433341026306152,1.1994447708
0,spam,DNN,0.55,0.6,l0,,0.20032954216003418,1.1637420654
1,spam,DNN,0.4501755023269898,0.4112070550676187,pairwise,,0.20032954216003418,1.1637420654
2,spam,DNN,0.5477225575051661,0.5999999999999999,cosine,,0.20032954216003418,1.1637420654
3,spam,DNN,0.8571417255167639,0.8725179465275573,spacy,,0.20032954216003418,1.1637420654
0,spam,DNN,0.2222222222222222,0.8333333333333333,l0,,1.598637580871582,1.1885228157
1,spam,DNN,0.14143056792554487,0.5797386715376657,pairwise,,1.598637580871582,1.1885228157
2,spam,DNN,0.19245008972987526,0.8164965809277259,cosine,,1.598637580871582,1.1885228157
3,spam,DNN,0.6000622806159132,0.905331666145458,spacy,,1.598637580871582,1.1885228157
0,spam,DNN,0.23376623376623376,0.5892857142857143,l0,,4.708568811416626,1.170971632
1,spam,DNN,0.13049436152984825,0.4073526042885674,pairwise,,4.708568811416626,1.170971632
2,spam,DNN,0.2279211529192759,0.5669467095138409,cosine,,4.708568811416626,1.170971632
3,spam,DNN,0.726175363282319,0.8169981018314948,spacy,,4.708568811416626,1.170971632
0,spam,DNN,0.34285714285714286,0.675,l0,,0.7493743896484375,1.2043924332
1,spam,DNN,0.20613696606828605,0.6569729210330906,pairwise,,0.7493743896484375,1.2043924332
2,spam,DNN,0.33806170189140655,0.6708203932499369,cosine,,0.7493743896484375,1.2043924332
3,spam,DNN,0.7265418838238944,0.8988246800978813,spacy,,0.7493743896484375,1.2043924332
0,spam,DNN,0.35,0.0,l0,,0.8716013431549072,1.1476905346
1,spam,DNN,0.19431434016858146,0.0,pairwise,,0.8716013431549072,1.1476905346
2,spam,DNN,0.31622776601683794,0.0,cosine,,0.8716013431549072,1.1476905346
3,spam,DNN,0.708633002827082,0.2404445342459838,spacy,,0.8716013431549072,1.1476905346
0,spam,DNN,0.29166666666666663,0.3611111111111111,l0,,2.9245095252990723,1.1584668159
1,spam,DNN,0.06655924660794856,0.0,pairwise,,2.9245095252990723,1.1584668159
2,spam,DNN,0.19245008972987526,0.3333333333333333,cosine,,2.9245095252990723,1.1584668159
3,spam,DNN,0.8308515050088672,0.8236497921577717,spacy,,2.9245095252990723,1.1584668159
0,spam,DNN,0.17142857142857143,0.55,l0,,1.2158153057098389,0.9182932377
1,spam,DNN,0.09349477497536716,0.43161341897075145,pairwise,,1.2158153057098389,0.9182932377
2,spam,DNN,0.16903085094570328,0.5477225575051661,cosine,,1.2158153057098389,0.9182932377
3,spam,DNN,0.7912849225323847,0.8867064614048193,spacy,,1.2158153057098389,0.9182932377
0,spam,DNN,0.12698412698412698,0.4642857142857143,l0,,2.097137928009033,0.9025490284000001
1,spam,DNN,0.07397129483465995,0.2605556710562624,pairwise,,2.097137928009033,0.9025490284000001
2,spam,DNN,0.1259881576697424,0.4629100498862757,cosine,,2.097137928009033,0.9025490284000001
3,spam,DNN,0.6322503530949046,0.8463210417876451,spacy,,2.097137928009033,0.9025490284000001
0,spam,DNN,0.42463235294117646,0.12916666666666665,l0,,4.374880790710449,0.9039585590000001
1,spam,DNN,0.3635003491675742,0.05900563581674298,pairwise,,4.374880790710449,0.9039585590000001
2,spam,DNN,0.5244044240850757,0.11009637651263604,cosine,,4.374880790710449,0.9039585590000001
3,spam,DNN,0.8547407880012362,0.7463780857712526,spacy,,4.374880790710449,0.9039585590000001
0,spam,DNN,0.23809523809523808,0.41666666666666663,l0,,1.5726113319396973,0.9074587822
1,spam,DNN,0.12536693798731732,0.2605556710562624,pairwise,,1.5726113319396973,0.9074587822
2,spam,DNN,0.2182178902359924,0.40824829046386296,cosine,,1.5726113319396973,0.9074587822
3,spam,DNN,0.5990979359644691,0.6723670375954054,spacy,,1.5726113319396973,0.9074587822
0,spam,DNN,0.20833333333333331,0.5833333333333333,l0,,0.9849185943603516,0.8935186863000001
1,spam,DNN,0.11521554337793122,0.4112070550676187,pairwise,,0.9849185943603516,0.8935186863000001
2,spam,DNN,0.20412414523193154,0.5773502691896258,cosine,,0.9849185943603516,0.8935186863000001
3,spam,DNN,0.5274607194418214,0.6475007863124856,spacy,,0.9849185943603516,0.8935186863000001
0,spam,DNN,0.2738095238095238,0.18055555555555555,l0,,6.150819778442383,0.8998363018000001
1,spam,DNN,0.1971075363789941,0.09269789668627057,pairwise,,6.150819778442383,0.8998363018000001
2,spam,DNN,0.3233808333817773,0.16666666666666666,cosine,,6.150819778442383,0.8998363018000001
3,spam,DNN,0.804493625710839,0.45445436892042335,spacy,,6.150819778442383,0.8998363018000001
0,spam,DNN,0.41666666666666663,1.0,l0,,0.13520050048828125,0.9112725258000001
1,spam,DNN,0.2605556710562624,0.9999999999999998,pairwise,,0.13520050048828125,0.9112725258000001
2,spam,DNN,0.40824829046386296,0.9999999999999998,cosine,,0.13520050048828125,0.9112725258000001
3,spam,DNN,0.7430116168487446,0.9999999952922333,spacy,,0.13520050048828125,0.9112725258000001
0,spam,DNN,0.3028846153846154,0.25,l0,,2.9610676765441895,0.9132761955
1,spam,DNN,0.13627634143908643,0.0,pairwise,,2.9610676765441895,0.9132761955
2,spam,DNN,0.294174202707276,0.24999999999999994,cosine,,2.9610676765441895,0.9132761955
3,spam,DNN,0.7300895730209003,0.6581743966327601,spacy,,2.9610676765441895,0.9132761955
0,spam,DNN,0.39285714285714285,0.375,l0,,0.992102861404419,0.9120841026000001
1,spam,DNN,0.23790309463326234,0.22028815056182965,pairwise,,0.992102861404419,0.9120841026000001
2,spam,DNN,0.3779644730092272,0.35355339059327373,cosine,,0.992102861404419,0.9120841026000001
3,spam,DNN,0.6971995777252882,0.5498096301459269,spacy,,0.992102861404419,0.9120841026000001
0,spam,DNN,0.0,0.0,l0,,0.5015950202941895,0.8962364197
1,spam,DNN,0.0,0.0,pairwise,,0.5015950202941895,0.8962364197
2,spam,DNN,0.0,0.0,cosine,,0.5015950202941895,0.8962364197
3,spam,DNN,0.2074239815595731,0.3050761889174664,spacy,,0.5015950202941895,0.8962364197
0,spam,DNN,0.29166666666666663,0.6666666666666666,l0,,1.4120144844055176,0.9024858475
1,spam,DNN,0.17077611319011649,0.7092972666062738,pairwise,,1.4120144844055176,0.9024858475
2,spam,DNN,0.2886751345948129,0.6666666666666667,cosine,,1.4120144844055176,0.9024858475
3,spam,DNN,0.6544912068361939,0.8191700822187952,spacy,,1.4120144844055176,0.9024858475
0,spam,DNN,0.15476190476190477,0.0,l0,,1.710832118988037,0.9197430611
1,spam,DNN,0.0845798608014702,0.0,pairwise,,1.710832118988037,0.9197430611
2,spam,DNN,0.1543033499620919,0.0,cosine,,1.710832118988037,0.9197430611
3,spam,DNN,0.6389913604902869,0.49618464333435286,spacy,,1.710832118988037,0.9197430611
0,spam,DNN,0.8,0.225,l0,,0.42650699615478516,0.9062492847
1,spam,DNN,0.6694188517266485,0.1273595297947935,pairwise,,0.42650699615478516,0.9062492847
2,spam,DNN,0.7999999999999998,0.22360679774997896,cosine,,0.42650699615478516,0.9062492847
3,spam,DNN,0.934075180648441,0.6120162760017042,spacy,,0.42650699615478516,0.9062492847
0,spam,DNN,0.2159090909090909,0.0,l0,,1.924534559249878,0.8966934681000001
1,spam,DNN,0.07874460345594508,0.0,pairwise,,1.924534559249878,0.8966934681000001
2,spam,DNN,0.21320071635561041,0.0,cosine,,1.924534559249878,0.8966934681000001
3,spam,DNN,0.6406555461387966,0.5859543215845441,spacy,,1.924534559249878,0.8966934681000001
0,spam,DNN,0.6666666666666666,0.8333333333333334,l0,,0.1105802059173584,0.9092128277
1,spam,DNN,0.43161341897075145,0.6694188517266485,pairwise,,0.1105802059173584,0.9092128277
2,spam,DNN,0.6666666666666667,0.8333333333333335,cosine,,0.1105802059173584,0.9092128277
3,spam,DNN,0.8200604569368175,0.938891635719941,spacy,,0.1105802059173584,0.9092128277
0,spam,DNN,0.7,0.0,l0,,0.22309470176696777,0.8848667145
1,spam,DNN,0.5415443207343177,0.0,pairwise,,0.22309470176696777,0.8848667145
2,spam,DNN,0.6999999999999998,0.0,cosine,,0.22309470176696777,0.8848667145
3,spam,DNN,0.813581951908871,0.5568077243988965,spacy,,0.22309470176696777,0.8848667145
0,spam,DNN,0.375,0.5,l0,,1.2761342525482178,0.8948562145000001
1,spam,DNN,0.2202881505618297,0.4112070550676187,pairwise,,1.2761342525482178,0.8948562145000001
2,spam,DNN,0.35355339059327373,0.5,cosine,,1.2761342525482178,0.8948562145000001
3,spam,DNN,0.7402600229711036,0.775003534419078,spacy,,1.2761342525482178,0.8948562145000001
0,spam,DNN,0.12698412698412698,0.4642857142857143,l0,,1.5870318412780762,0.1555588245
1,spam,DNN,0.06804963087832473,0.3041257418754935,pairwise,,1.5870318412780762,0.1555588245
2,spam,DNN,0.1259881576697424,0.4629100498862757,cosine,,1.5870318412780762,0.1555588245
3,spam,DNN,0.7410104271225095,0.8305705161025655,spacy,,1.5870318412780762,0.1555588245
0,spam,RF,0.8712121212121212,0.0,l0,,0.13144946098327637,1.1717495918
1,spam,RF,0.7548969126692828,0.0,pairwise,,0.13144946098327637,1.1717495918
2,spam,RF,0.8703882797784892,0.0,cosine,,0.13144946098327637,1.1717495918
3,spam,RF,0.9810778668976586,0.7058175247688189,spacy,,0.13144946098327637,1.1717495918
0,spam,RF,0.7142857142857143,0.4017857142857143,l0,,0.20692682266235352,1.2060894966
1,spam,RF,0.5586177528223194,0.2095424038071012,pairwise,,0.20692682266235352,1.2060894966
2,spam,RF,0.7142857142857142,0.3418817293789138,cosine,,0.20692682266235352,1.2060894966
3,spam,RF,0.9336948315669329,0.7393126995114537,spacy,,0.20692682266235352,1.2060894966
0,spam,RF,0.7333333333333334,0.0,l0,,0.7499299049377441,1.2019557953
1,spam,RF,0.5101490193104813,0.0,pairwise,,0.7499299049377441,1.2019557953
2,spam,RF,0.7302967433402214,0.0,cosine,,0.7499299049377441,1.2019557953
3,spam,RF,0.8912252696156477,0.5102663014972698,spacy,,0.7499299049377441,1.2019557953
0,spam,RF,0.6672794117647058,0.3033088235294118,l0,,1.1707539558410645,0.9261476994000001
1,spam,RF,0.5690580725029212,0.17584120049934068,pairwise,,1.1707539558410645,0.9261476994000001
2,spam,RF,0.7150969419341942,0.28603877677367767,cosine,,1.1707539558410645,0.9261476994000001
3,spam,RF,0.9335938349069739,0.7812244613189812,spacy,,1.1707539558410645,0.9261476994000001
0,spam,RF,0.5608974358974359,0.0,l0,,1.0108251571655273,0.9226429462
1,spam,RF,0.3924425991293043,0.0,pairwise,,1.0108251571655273,0.9226429462
2,spam,RF,0.5604485383178051,0.0,cosine,,1.0108251571655273,0.9226429462
3,spam,RF,0.9207296755734125,0.6765909992794544,spacy,,1.0108251571655273,0.9226429462
0,spam,RF,0.7142857142857143,0.38095238095238093,l0,,0.23705577850341797,0.9049112797000001
1,spam,RF,0.5031026124151313,0.1707761131901165,pairwise,,0.23705577850341797,0.9049112797000001
2,spam,RF,0.7142857142857142,0.3779644730092272,cosine,,0.23705577850341797,0.9049112797000001
3,spam,RF,0.8132119329934584,0.7117035834504973,spacy,,0.23705577850341797,0.9049112797000001
0,spam,RF,0.5523809523809524,0.06512605042016806,l0,,0.9934422969818115,0.9032106400000001
1,spam,RF,0.3733688047660711,0.0,pairwise,,0.9934422969818115,0.9032106400000001
2,spam,RF,0.5520524474738834,0.0,cosine,,0.9934422969818115,0.9032106400000001
3,spam,RF,0.8485439809486516,0.6075354238812426,spacy,,0.9934422969818115,0.9032106400000001
0,spam,RF,0.7083333333333333,0.0,l0,,0.5338566303253174,0.9191586971000001
1,spam,RF,0.57273935841962,0.0,pairwise,,0.5338566303253174,0.9191586971000001
2,spam,RF,0.7071067811865475,0.0,cosine,,0.5338566303253174,0.9191586971000001
3,spam,RF,0.8475979232326025,0.5161335666137524,spacy,,0.5338566303253174,0.9191586971000001
0,spam,RF,0.4375,0.30952380952380953,l0,,2.7884342670440674,0.9011092186
1,spam,RF,0.31710746658027095,0.10163066979112657,pairwise,,2.7884342670440674,0.9011092186
2,spam,RF,0.43301270189221935,0.3086066999241838,cosine,,2.7884342670440674,0.9011092186
3,spam,RF,0.5667413873625533,0.6878807814897883,spacy,,2.7884342670440674,0.9011092186
0,spam,RF,0.9545454545454546,0.0,l0,,0.14457964897155762,0.9128735065
1,spam,RF,0.9138106509294461,0.0,pairwise,,0.14457964897155762,0.9128735065
2,spam,RF,0.9534625892455924,0.0,cosine,,0.14457964897155762,0.9128735065
3,spam,RF,0.9832460751879288,0.5684359901364783,spacy,,0.14457964897155762,0.9128735065
