,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,spam,DNN,0.0,0.6190476190476191,l0,,0.13102936744689941,1.2106294632
1,spam,DNN,0.0,0.47958182018755263,pairwise,,0.13102936744689941,1.2106294632
2,spam,DNN,0.0,0.629940788348712,cosine,,0.13102936744689941,1.2106294632
3,spam,DNN,0.0,0.8430881067077387,spacy,,0.13102936744689941,1.2106294632
0,spam,DNN,0.375,0.5833333333333333,l0,,0.05812811851501465,1.218187809
1,spam,DNN,0.0,0.2605556710562624,pairwise,,0.05812811851501465,1.218187809
2,spam,DNN,0.09805806756909202,0.5773502691896258,cosine,,0.05812811851501465,1.218187809
3,spam,DNN,0.5460758495801968,0.831130371980288,spacy,,0.05812811851501465,1.218187809
0,spam,DNN,0.0,0.5357142857142857,l0,,0.41738343238830566,1.170101881
1,spam,DNN,0.0,0.12735952979479354,pairwise,,0.41738343238830566,1.170101881
2,spam,DNN,0.0,0.5345224838248487,cosine,,0.41738343238830566,1.170101881
3,spam,DNN,0.0,0.8162925911419525,spacy,,0.41738343238830566,1.170101881
0,spam,DNN,0.41666666666666663,0.375,l0,,0.3840808868408203,1.1480565071
1,spam,DNN,0.015219542099113388,0.2315705261229729,pairwise,,0.3840808868408203,1.1480565071
2,spam,DNN,0.027430739102420144,0.3535533905932738,cosine,,0.3840808868408203,1.1480565071
3,spam,DNN,0.7539767591692191,0.6893053121101176,spacy,,0.3840808868408203,1.1480565071
0,spam,DNN,0.475,0.15833333333333333,l0,,0.3333008289337158,1.1693603992
1,spam,DNN,0.01523590259399405,0.0,pairwise,,0.3333008289337158,1.1693603992
2,spam,DNN,0.03522349768381734,0.11785113019775793,cosine,,0.3333008289337158,1.1693603992
3,spam,DNN,0.5017579651340461,0.5362434577827929,spacy,,0.3333008289337158,1.1693603992
0,spam,DNN,0.4444444444444444,0.2777777777777778,l0,,0.11301851272583008,1.2016084194
1,spam,DNN,0.0,0.0,pairwise,,0.11301851272583008,1.2016084194
2,spam,DNN,0.07317617332646023,0.2721655269759087,cosine,,0.11301851272583008,1.2016084194
3,spam,DNN,0.8313826263366303,0.7878987176475116,spacy,,0.11301851272583008,1.2016084194
