,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,spam,DNN,0.0,0.6190476190476191,l0,,40.531097173690796,1.2106294632
1,spam,DNN,0.0,0.47958182018755263,pairwise,,40.531097173690796,1.2106294632
2,spam,DNN,0.0,0.629940788348712,cosine,,40.531097173690796,1.2106294632
3,spam,DNN,0.08583743227173884,0.8430881067077387,spacy,,40.531097173690796,1.2106294632
0,spam,DNN,0.20833333333333331,0.5833333333333333,l0,,15.977461814880371,1.218187809
1,spam,DNN,0.0,0.2605556710562624,pairwise,,15.977461814880371,1.218187809
2,spam,DNN,0.20412414523193154,0.5773502691896258,cosine,,15.977461814880371,1.218187809
3,spam,DNN,0.3386505919486653,0.831130371980288,spacy,,15.977461814880371,1.218187809
0,spam,DNN,0.08035714285714285,0.5357142857142857,l0,,40.07823204994202,1.170101881
1,spam,DNN,0.045471247322704834,0.12735952979479354,pairwise,,40.07823204994202,1.170101881
2,spam,DNN,0.06681531047810609,0.5345224838248487,cosine,,40.07823204994202,1.170101881
3,spam,DNN,0.3780945658263935,0.8162925911419525,spacy,,40.07823204994202,1.170101881
0,spam,DNN,0.05890804597701149,0.375,l0,,33.079742193222046,1.1480565071
1,spam,DNN,0.02658809845355955,0.2315705261229729,pairwise,,33.079742193222046,1.1480565071
2,spam,DNN,0.048795003647426664,0.3535533905932738,cosine,,33.079742193222046,1.1480565071
3,spam,DNN,0.5611572422727302,0.6893053121101176,spacy,,33.079742193222046,1.1480565071
0,spam,DNN,0.0,0.15833333333333333,l0,,40.7363543510437,1.1693603992
1,spam,DNN,0.0,0.0,pairwise,,40.7363543510437,1.1693603992
2,spam,DNN,0.0,0.11785113019775793,cosine,,40.7363543510437,1.1693603992
3,spam,DNN,0.26062079902522756,0.5362434577827929,spacy,,40.7363543510437,1.1693603992
0,spam,DNN,0.2111111111111111,0.2777777777777778,l0,,28.188601970672607,1.2016084194
1,spam,DNN,0.0,0.0,pairwise,,28.188601970672607,1.2016084194
2,spam,DNN,0.21081851067789195,0.2721655269759087,cosine,,28.188601970672607,1.2016084194
3,spam,DNN,0.2962646613114463,0.7878987176475116,spacy,,28.188601970672607,1.2016084194
0,spam,DNN,0.3055555555555556,0.0,l0,,20.15259313583374,1.1856923102999999
1,spam,DNN,0.14143056792554487,0.0,pairwise,,20.15259313583374,1.1856923102999999
2,spam,DNN,0.2357022603955158,0.0,cosine,,20.15259313583374,1.1856923102999999
