,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,spam,DNN,0.3125,0.25,l0,,0.14288115501403809,0.0100724697113037
1,spam,DNN,0.0,0.0,pairwise,,0.14288115501403809,0.0100724697113037
2,spam,DNN,0.032009219983223994,0.31980107453341566,cosine,,0.14288115501403809,0.0100724697113037
3,spam,DNN,0.46449877110016596,0.7479099314678289,spacy,,0.14288115501403809,0.0100724697113037
0,spam,RF,0.7597402597402598,0.07272727272727272,l0,,0.2958536148071289,0.0173187255859375
1,spam,RF,0.14199558408534108,0.041837112173182874,pairwise,,0.2958536148071289,0.0173187255859375
2,spam,RF,0.2607310719390713,0.0674199862463242,cosine,,0.2958536148071289,0.0173187255859375
3,spam,RF,0.9583728825413058,0.6998508339924734,spacy,,0.2958536148071289,0.0173187255859375
0,spam,RF,0.7878787878787878,0.0,l0,,0.2308971881866455,0.0128693580627441
1,spam,RF,0.19203803779932682,0.0,pairwise,,0.2308971881866455,0.0128693580627441
2,spam,RF,0.30015011259383206,0.0,cosine,,0.2308971881866455,0.0128693580627441
3,spam,RF,0.9433882587497903,0.5946698673103129,spacy,,0.2308971881866455,0.0128693580627441
0,spam,RF,0.8511904761904762,0.0,l0,,0.10086441040039062,0.0106828212738037
1,spam,RF,0.40962237640681903,0.0,pairwise,,0.10086441040039062,0.0106828212738037
2,spam,RF,0.5657789498610036,0.0,cosine,,0.10086441040039062,0.0106828212738037
3,spam,RF,0.963429527749606,0.6907232759838956,spacy,,0.10086441040039062,0.0106828212738037
0,spam,RF,0.9545454545454546,0.0,l0,,0.07607126235961914,0.0142266750335693
1,spam,RF,0.618252836353198,0.0,pairwise,,0.07607126235961914,0.0142266750335693
2,spam,RF,0.7687061147858074,0.0,cosine,,0.07607126235961914,0.0142266750335693
3,spam,RF,1.00000000771342,0.6584154423445204,spacy,,0.07607126235961914,0.0142266750335693
0,spam,RF,0.5333333333333333,0.0,l0,,0.07619976997375488,0.0173265933990478
1,spam,RF,0.15973937686327605,0.0,pairwise,,0.07619976997375488,0.0173265933990478
2,spam,RF,0.26967994498529685,0.0,cosine,,0.07619976997375488,0.0173265933990478
3,spam,RF,0.8521839836638311,0.5507236145121437,spacy,,0.07619976997375488,0.0173265933990478
0,spam,RF,0.9041666666666667,0.06696428571428571,l0,,0.1130516529083252,0.0097279548645019
1,spam,RF,0.6333336205477683,0.024700713493349614,pairwise,,0.1130516529083252,0.0097279548645019
2,spam,RF,0.7778174593052023,0.042257712736425826,cosine,,0.1130516529083252,0.0097279548645019
3,spam,RF,0.9898904318603676,0.6466043515193317,spacy,,0.1130516529083252,0.0097279548645019
0,spam,RF,0.6719367588932806,0.05745341614906832,l0,,0.585068941116333,0.0097715854644775
1,spam,RF,0.09044878143778835,0.02617638556126625,pairwise,,0.585068941116333,0.0097715854644775
2,spam,RF,0.1466717595245138,0.045175395145262566,cosine,,0.585068941116333,0.0097715854644775
3,spam,RF,0.8719651929681795,0.7597296667575137,spacy,,0.585068941116333,0.0097715854644775
0,spam,RF,0.7556818181818181,0.09545454545454546,l0,,0.1026921272277832,0.0141973495483398
1,spam,RF,0.28332134678880033,0.0633548122219654,pairwise,,0.1026921272277832,0.0141973495483398
2,spam,RF,0.44008622942335207,0.09534625892455924,cosine,,0.1026921272277832,0.0141973495483398
3,spam,RF,0.8039685975716043,0.39300606714638286,spacy,,0.1026921272277832,0.0141973495483398
0,spam,RF,0.8466386554621849,0.0,l0,,0.2302107810974121,0.0150830745697021
1,spam,RF,0.22863294607917126,0.0,pairwise,,0.2302107810974121,0.0150830745697021
2,spam,RF,0.3593134953348083,0.0,cosine,,0.2302107810974121,0.0150830745697021
3,spam,RF,0.9609768581147371,0.6610349128379805,spacy,,0.2302107810974121,0.0150830745697021
0,spam,RF,0.8253968253968254,0.1527777777777778,l0,,0.20772600173950195,0.0126621723175048
1,spam,RF,0.26423182729652017,0.06895502284478258,pairwise,,0.20772600173950195,0.0126621723175048
2,spam,RF,0.44342202660886976,0.09622504486493763,cosine,,0.20772600173950195,0.0126621723175048
3,spam,RF,0.9487596091980064,0.4244951842288788,spacy,,0.20772600173950195,0.0126621723175048
0,spam,RF,0.9333333333333333,0.06904761904761905,l0,,0.10863637924194336,0.0091936588287353
1,spam,RF,0.5682118078990057,0.10595347124518427,pairwise,,0.10863637924194336,0.0091936588287353
2,spam,RF,0.7190924955066749,0.15724272550828775,cosine,,0.10863637924194336,0.0091936588287353
3,spam,RF,0.9867994914327967,0.8218184099675937,spacy,,0.10863637924194336,0.0091936588287353
0,spam,RF,0.8708333333333333,0.0,l0,,0.17131781578063965,0.0098934173583984
