,dataset,bb,wb similarity,bb similarity,metric,method,wb time,bb time
0,spam,DNN,0.0,0.25,l0,,44.16676712036133,0.0100724697113037
1,spam,DNN,0.0,0.0,pairwise,,44.16676712036133,0.0100724697113037
2,spam,DNN,0.0,0.31980107453341566,cosine,,44.16676712036133,0.0100724697113037
3,spam,DNN,0.16713044985504902,0.7479099314678289,spacy,,44.16676712036133,0.0100724697113037
0,spam,RF,0.3920454545454546,0.07272727272727272,l0,,24.571839094161987,0.0173187255859375
1,spam,RF,0.2152827154634189,0.041837112173182874,pairwise,,24.571839094161987,0.0173187255859375
2,spam,RF,0.3692744729379982,0.0674199862463242,cosine,,24.571839094161987,0.0173187255859375
3,spam,RF,0.7185532551256677,0.6998508339924734,spacy,,24.571839094161987,0.0173187255859375
0,spam,RF,0.55,0.0,l0,,12.323856115341187,0.0128693580627441
1,spam,RF,0.3808726084759438,0.0,pairwise,,12.323856115341187,0.0128693580627441
2,spam,RF,0.5477225575051662,0.0,cosine,,12.323856115341187,0.0128693580627441
3,spam,RF,0.7019200422882615,0.5946698673103129,spacy,,12.323856115341187,0.0128693580627441
0,spam,RF,0.5357142857142857,0.0,l0,,20.21054220199585,0.0106828212738037
1,spam,RF,0.368023208756115,0.0,pairwise,,20.21054220199585,0.0106828212738037
2,spam,RF,0.5345224838248488,0.0,cosine,,20.21054220199585,0.0106828212738037
3,spam,RF,0.8883020234538552,0.6907232759838956,spacy,,20.21054220199585,0.0106828212738037
0,spam,RF,0.7333333333333334,0.0,l0,,16.136863231658936,0.0142266750335693
1,spam,RF,0.5217036322696998,0.0,pairwise,,16.136863231658936,0.0142266750335693
2,spam,RF,0.7205766921228922,0.0,cosine,,16.136863231658936,0.0142266750335693
3,spam,RF,0.8748988684918724,0.6584154423445204,spacy,,16.136863231658936,0.0142266750335693
0,spam,RF,0.6,0.0,l0,,4.086998701095581,0.0173265933990478
1,spam,RF,0.43161341897075145,0.0,pairwise,,4.086998701095581,0.0173265933990478
2,spam,RF,0.5999999999999999,0.0,cosine,,4.086998701095581,0.0173265933990478
3,spam,RF,0.7561056787571881,0.5507236145121437,spacy,,4.086998701095581,0.0173265933990478
0,spam,RF,0.5902777777777778,0.06696428571428571,l0,,12.026228904724121,0.0097279548645019
1,spam,RF,0.6238566772102426,0.024700713493349614,pairwise,,12.026228904724121,0.0097279548645019
2,spam,RF,0.7642171012073583,0.042257712736425826,cosine,,12.026228904724121,0.0097279548645019
3,spam,RF,0.933875598621257,0.6466043515193317,spacy,,12.026228904724121,0.0097279548645019
0,spam,RF,0.3689064558629776,0.05745341614906832,l0,,23.876956701278687,0.0097715854644775
1,spam,RF,0.267675384290897,0.02617638556126625,pairwise,,23.876956701278687,0.0097715854644775
2,spam,RF,0.4225771273642583,0.045175395145262566,cosine,,23.876956701278687,0.0097715854644775
3,spam,RF,0.6525112114724165,0.7597296667575137,spacy,,23.876956701278687,0.0097715854644775
0,spam,RF,0.696969696969697,0.09545454545454546,l0,,12.016682386398315,0.0141973495483398
1,spam,RF,0.46598909712311054,0.0633548122219654,pairwise,,12.016682386398315,0.0141973495483398
2,spam,RF,0.6963106238227914,0.09534625892455924,cosine,,12.016682386398315,0.0141973495483398
3,spam,RF,0.8542527923032947,0.39300606714638286,spacy,,12.016682386398315,0.0141973495483398
0,spam,RF,0.5213903743315508,0.0,l0,,16.18445587158203,0.0150830745697021
1,spam,RF,0.37977699162303447,0.0,pairwise,,16.18445587158203,0.0150830745697021
2,spam,RF,0.5170876899950192,0.0,cosine,,16.18445587158203,0.0150830745697021
3,spam,RF,0.7487850365858666,0.6610349128379805,spacy,,16.18445587158203,0.0150830745697021
0,spam,RF,0.5805555555555556,0.1527777777777778,l0,,12.124526262283325,0.0126621723175048
1,spam,RF,0.3902464651532406,0.06895502284478258,pairwise,,12.124526262283325,0.0126621723175048
2,spam,RF,0.6416236526819377,0.09622504486493763,cosine,,12.124526262283325,0.0126621723175048
3,spam,RF,0.8542439999310938,0.4244951842288788,spacy,,12.124526262283325,0.0126621723175048
0,spam,RF,0.7157894736842105,0.06904761904761905,l0,,8.112699747085571,0.0091936588287353
1,spam,RF,0.5953130504343173,0.10595347124518427,pairwise,,8.112699747085571,0.0091936588287353
2,spam,RF,0.7526178090063816,0.15724272550828775,cosine,,8.112699747085571,0.0091936588287353
3,spam,RF,0.9311781085275076,0.8218184099675937,spacy,,8.112699747085571,0.0091936588287353
0,spam,RF,0.7211538461538461,0.0,l0,,12.030518054962158,0.0098934173583984
1,spam,RF,0.5418775067774683,0.0,pairwise,,12.030518054962158,0.0098934173583984
2,spam,RF,0.7205766921228922,0.0,cosine,,12.030518054962158,0.0098934173583984
3,spam,RF,0.8953362453210493,0.5998864125090961,spacy,,12.030518054962158,0.0098934173583984
